role_category_1,network_receiver_role_category,defender_role_category,raw_responsibility,n_passes,value,valued_responsibility,competition_name
CB-3,GK,CB-3,0.0,17,-0.0007742923529411,-0.0,FIFA Men's World Cup
CB-3,GK,GK,0.0,68,-0.0014752245588235,-0.0,FIFA Men's World Cup
CB-3,GK,LB,0.0,51,-0.0017088686274509,-0.0,FIFA Men's World Cup
CB-3,GK,LCB-3,0.0,17,-0.0007742923529411,-0.0,FIFA Men's World Cup
CB-3,GK,LCB-4,0.0,51,-0.0017088686274509,-0.0,FIFA Men's World Cup
CB-3,GK,LDM,0.0,33,-0.0011091836363636,-0.0,FIFA Men's World Cup
CB-3,GK,LS,0.1272156874070363,31,-0.0009900138709677,-0.0001259452951376,FIFA Men's World Cup
CB-3,GK,LW,0.0219631522322491,42,-0.0018010935714285,-3.955769229381079e-05,FIFA Men's World Cup
CB-3,GK,LWB,0.036037553636268,17,-0.0007742923529411,-2.7903602199269167e-05,FIFA Men's World Cup
CB-3,GK,LZM,0.0010627405189723,35,-0.0018203488571428,-1.934558489150733e-06,FIFA Men's World Cup
CB-3,GK,RB,0.0,51,-0.0017088686274509,-0.0,FIFA Men's World Cup
CB-3,GK,RCB-3,0.0,17,-0.0007742923529411,-0.0,FIFA Men's World Cup
CB-3,GK,RCB-4,0.0078381523632781,51,-0.0017088686274509,-1.3394372670786696e-05,FIFA Men's World Cup
CB-3,GK,RDM,0.0349714916810294,33,-0.0011091836363636,-3.878980631182429e-05,FIFA Men's World Cup
CB-3,GK,RS,0.160458020208129,31,-0.0009900138709677,-0.000158855665714,FIFA Men's World Cup
CB-3,GK,RW,0.0240357595358269,42,-0.0018010935714285,-4.329065198438068e-05,FIFA Men's World Cup
CB-3,GK,RWB,0.0159701130471661,17,-0.0007742923529411,-1.236553640802654e-05,FIFA Men's World Cup
CB-3,GK,RZM,0.0456325427148509,35,-0.0018203488571428,-8.306714697950083e-05,FIFA Men's World Cup
CB-3,GK,ST,0.3312896468394145,37,-0.0018817524324324,-0.0006234050987797,FIFA Men's World Cup
CB-3,GK,ZDM,0.0098562056941305,35,-0.0018203488571428,-1.7941732771075317e-05,FIFA Men's World Cup
