player,Nodes Degree_xt,Closeness_xt,Pagerank_xt,Betweenness_xt,Nodes Degree_base,Closeness_base,Pagerank_base,Betweenness_base,match_id,team,player_match_id,Sofascore Rating
Joshua Kimmich,9.369090502,0.144117188,0.049024721,0.029032258,226,1.911429576,0.075427996,0.120430108,3857292,Germany,Joshua Kimmich_3857292,8.5
Christian Dannemann Eriksen,9.211194525,0.150729018,0.056442591,0.04137931,129,1.807367173,0.053206482,0.05862069,3857257,Denmark,Christian Eriksen_3857257,7.3
João Pedro Cavaco Cancelo,9.111503162,0.164154079,0.06142356,0.062807882,143,1.843632639,0.066735154,0.113095238,3857262,Portugal,João Cancelo_3857262,7
Marcelo Brozović,8.990080792,0.136164612,0.053430593,0.044354839,236,1.724909048,0.084630772,0.11391129,3869219,Croatia,Marcelo Brozović_3869219,7.5
Dušan Tadić,8.945964096,0.163725861,0.058670102,0.059139785,94,1.441658594,0.061305575,0.030645161,3857259,Serbia,Dušan Tadić_3857259,7.3
Joel Nathaniel Campbell Samuels,8.931255267,0.144387512,0.062391142,0.087096774,119,1.665288938,0.102745524,0.155376344,3857292,Costa Rica,Joel Campbell_3857292,6.9
Alexis Mac Allister,8.868265209,0.142006117,0.0524883,0.035282258,89,1.615255188,0.045895924,0.051915323,3869321,Argentina,Alexis Mac Allister_3869321,6.7
Federico Santiago Valverde Dipetta,8.838026205,0.135438099,0.058332976,0.051612903,125,1.251982255,0.07643864,0.120430108,3857293,Uruguay,Federico Valverde_3857293,7.3
Jude Bellingham,8.73133833,0.12849114,0.048237119,0.030241935,180,2.023754613,0.056359772,0.048387097,3857271,England,Jude Bellingham_3857271,8.2
Aurélien Djani Tchouaméni,8.700961663,0.143564394,0.059653259,0.051724138,128,1.653726006,0.067039179,0.09544335,3857266,France,Aurélien Tchouaméni_3857266,7.5
Aaron Mooy,8.685040531,0.148191127,0.063059063,0.037931034,118,1.305699482,0.073743406,0.085632184,3857279,Australia,Aaron Mooy_3857279,6.4
Tyler Adams,8.682230476,0.133913033,0.051744791,0.034482759,140,1.692260253,0.062365127,0.097701149,3869117,United States,Tyler Adams_3869117,7.2
Jude Bellingham,8.681459603,0.142353532,0.05040624,0.041935484,95,1.625952364,0.044148689,0.023655914,3857261,England,Jude Bellingham_3857261,7.2
Mateo Kovačić,8.57611742,0.132435157,0.049600206,0.041935484,169,1.994718759,0.073664599,0.109677419,3869519,Croatia,Mateo Kovačić_3869519,7
Saeid Ezatolahi Afagh,8.542779084,0.135882427,0.050531952,0.029032258,88,1.254394251,0.053416078,0.038709677,3857278,Iran,Saeid Ezatolahi_3857278,7
Antoine Griezmann,8.522416144,0.143520861,0.04954717,0.025287356,136,1.84005771,0.049488801,0.012643678,3857279,France,Antoine Griezmann_3857279,9
