player,rating,match_string,match_link
Fabián Ruiz,9.1,"Euro, Knockout stage, Round of 16: Spain vs Georgia",https://www.sofascore.com/football/match/georgia-spain/YTbsnVb#id:11874031
Nico Williams,8.9,"Euro, Knockout stage, Round of 16: Spain vs Georgia",https://www.sofascore.com/football/match/georgia-spain/YTbsnVb#id:11874031
Rodri,8.7,"Euro, Knockout stage, Round of 16: Spain vs Georgia",https://www.sofascore.com/football/match/georgia-spain/YTbsnVb#id:11874031
Giorgi Mamardashvili,8.1,"Euro, Knockout stage, Round of 16: Spain vs Georgia",https://www.sofascore.com/football/match/georgia-spain/YTbsnVb#id:11874031
Khvicha Kvaratskhelia,6.9,"Euro, Knockout stage, Round of 16: Spain vs Georgia",https://www.sofascore.com/football/match/georgia-spain/YTbsnVb#id:11874031
Guram Kashia,6.8,"Euro, Knockout stage, Round of 16: Spain vs Georgia",https://www.sofascore.com/football/match/georgia-spain/YTbsnVb#id:11874031
Unai Simón,6.5,"Euro, Knockout stage, Round of 16: Spain vs Georgia",https://www.sofascore.com/football/match/georgia-spain/YTbsnVb#id:11874031
Daniel Carvajal,7.2,"Euro, Knockout stage, Round of 16: Spain vs Georgia",https://www.sofascore.com/football/match/georgia-spain/YTbsnVb#id:11874031
Robin Le Normand,6.9,"Euro, Knockout stage, Round of 16: Spain vs Georgia",https://www.sofascore.com/football/match/georgia-spain/YTbsnVb#id:11874031
Aymeric Laporte,8.0,"Euro, Knockout stage, Round of 16: Spain vs Georgia",https://www.sofascore.com/football/match/georgia-spain/YTbsnVb#id:11874031
Marc Cucurella,7.6,"Euro, Knockout stage, Round of 16: Spain vs Georgia",https://www.sofascore.com/football/match/georgia-spain/YTbsnVb#id:11874031
Pedri,7.2,"Euro, Knockout stage, Round of 16: Spain vs Georgia",https://www.sofascore.com/football/match/georgia-spain/YTbsnVb#id:11874031
Lamine Yamal,7.8,"Euro, Knockout stage, Round of 16: Spain vs Georgia",https://www.sofascore.com/football/match/georgia-spain/YTbsnVb#id:11874031
Álvaro Morata,6.6,"Euro, Knockout stage, Round of 16: Spain vs Georgia",https://www.sofascore.com/football/match/georgia-spain/YTbsnVb#id:11874031
O. Kakabadze,6.3,"Euro, Knockout stage, Round of 16: Spain vs Georgia",https://www.sofascore.com/football/match/georgia-spain/YTbsnVb#id:11874031
G. Gvelesiani,6.5,"Euro, Knockout stage, Round of 16: Spain vs Georgia",https://www.sofascore.com/football/match/georgia-spain/YTbsnVb#id:11874031
G. Kashia,6.8,"Euro, Knockout stage, Round of 16: Spain vs Georgia",https://www.sofascore.com/football/match/georgia-spain/YTbsnVb#id:11874031
L. Dvali,6.1,"Euro, Knockout stage, Round of 16: Spain vs Georgia",https://www.sofascore.com/football/match/georgia-spain/YTbsnVb#id:11874031
L. Lochoshvili,6.5,"Euro, Knockout stage, Round of 16: Spain vs Georgia",https://www.sofascore.com/football/match/georgia-spain/YTbsnVb#id:11874031
Giorgi Chakvetadze,6.8,"Euro, Knockout stage, Round of 16: Spain vs Georgia",https://www.sofascore.com/football/match/georgia-spain/YTbsnVb#id:11874031
Otar Kiteishvili,6.8,"Euro, Knockout stage, Round of 16: Spain vs Georgia",https://www.sofascore.com/football/match/georgia-spain/YTbsnVb#id:11874031
Giorgi Kochorashvili,6.5,"Euro, Knockout stage, Round of 16: Spain vs Georgia",https://www.sofascore.com/football/match/georgia-spain/YTbsnVb#id:11874031
Georges Mikautadze,5.7,"Euro, Knockout stage, Round of 16: Spain vs Georgia",https://www.sofascore.com/football/match/georgia-spain/YTbsnVb#id:11874031
Dani Olmo,8.1,"Euro, Knockout stage, Round of 16: Spain vs Georgia",https://www.sofascore.com/football/match/georgia-spain/YTbsnVb#id:11874031
Alejandro Grimaldo,6.8,"Euro, Knockout stage, Round of 16: Spain vs Georgia",https://www.sofascore.com/football/match/georgia-spain/YTbsnVb#id:11874031
Mikel Oyarzabal,6.9,"Euro, Knockout stage, Round of 16: Spain vs Georgia",https://www.sofascore.com/football/match/georgia-spain/YTbsnVb#id:11874031
Jesús Navas,6.7,"Euro, Knockout stage, Round of 16: Spain vs Georgia",https://www.sofascore.com/football/match/georgia-spain/YTbsnVb#id:11874031
Mikel Merino,6.8,"Euro, Knockout stage, Round of 16: Spain vs Georgia",https://www.sofascore.com/football/match/georgia-spain/YTbsnVb#id:11874031
Sandro Altunashvili,6.2,"Euro, Knockout stage, Round of 16: Spain vs Georgia",https://www.sofascore.com/football/match/georgia-spain/YTbsnVb#id:11874031
Georgiy Tsitaishvili,6.5,"Euro, Knockout stage, Round of 16: Spain vs Georgia",https://www.sofascore.com/football/match/georgia-spain/YTbsnVb#id:11874031
Zuriko Davitashvili,6.3,"Euro, Knockout stage, Round of 16: Spain vs Georgia",https://www.sofascore.com/football/match/georgia-spain/YTbsnVb#id:11874031
Nika Kvekveskiri,6.3,"Euro, Knockout stage, Round of 16: Spain vs Georgia",https://www.sofascore.com/football/match/georgia-spain/YTbsnVb#id:11874031
Budu Zivzivadze,6.4,"Euro, Knockout stage, Round of 16: Spain vs Georgia",https://www.sofascore.com/football/match/georgia-spain/YTbsnVb#id:11874031
Antonio Rüdiger,8.2,"Euro, Knockout stage, Round of 16: Germany vs Denmark",https://www.sofascore.com/football/match/germany-denmark/BObslUb#id:11874018
Nico Schlotterbeck,8.0,"Euro, Knockout stage, Round of 16: Germany vs Denmark",https://www.sofascore.com/football/match/germany-denmark/BObslUb#id:11874018
Toni Kroos,7.5,"Euro, Knockout stage, Round of 16: Germany vs Denmark",https://www.sofascore.com/football/match/germany-denmark/BObslUb#id:11874018
Kasper Schmeichel,8.2,"Euro, Knockout stage, Round of 16: Germany vs Denmark",https://www.sofascore.com/football/match/germany-denmark/BObslUb#id:11874018
Christian Eriksen,7.1,"Euro, Knockout stage, Round of 16: Germany vs Denmark",https://www.sofascore.com/football/match/germany-denmark/BObslUb#id:11874018
Pierre-Emile Højbjerg,6.9,"Euro, Knockout stage, Round of 16: Germany vs Denmark",https://www.sofascore.com/football/match/germany-denmark/BObslUb#id:11874018
Manuel Neuer,7.4,"Euro, Knockout stage, Round of 16: Germany vs Denmark",https://www.sofascore.com/football/match/germany-denmark/BObslUb#id:11874018
Joshua Kimmich,7.4,"Euro, Knockout stage, Round of 16: Germany vs Denmark",https://www.sofascore.com/football/match/germany-denmark/BObslUb#id:11874018
David Raum,7.4,"Euro, Knockout stage, Round of 16: Germany vs Denmark",https://www.sofascore.com/football/match/germany-denmark/BObslUb#id:11874018
Robert Andrich,7.1,"Euro, Knockout stage, Round of 16: Germany vs Denmark",https://www.sofascore.com/football/match/germany-denmark/BObslUb#id:11874018
Leroy Sané,6.8,"Euro, Knockout stage, Round of 16: Germany vs Denmark",https://www.sofascore.com/football/match/germany-denmark/BObslUb#id:11874018
İlkay Gündoğan,6.8,"Euro, Knockout stage, Round of 16: Germany vs Denmark",https://www.sofascore.com/football/match/germany-denmark/BObslUb#id:11874018
Jamal Musiala,7.0,"Euro, Knockout stage, Round of 16: Germany vs Denmark",https://www.sofascore.com/football/match/germany-denmark/BObslUb#id:11874018
Kai Havertz,6.4,"Euro, Knockout stage, Round of 16: Germany vs Denmark",https://www.sofascore.com/football/match/germany-denmark/BObslUb#id:11874018
Joachim Andersen,5.9,"Euro, Knockout stage, Round of 16: Germany vs Denmark",https://www.sofascore.com/football/match/germany-denmark/BObslUb#id:11874018
Jannik Vestergaard,6.9,"Euro, Knockout stage, Round of 16: Germany vs Denmark",https://www.sofascore.com/football/match/germany-denmark/BObslUb#id:11874018
Andreas Christensen,6.8,"Euro, Knockout stage, Round of 16: Germany vs Denmark",https://www.sofascore.com/football/match/germany-denmark/BObslUb#id:11874018
Alexander Bah,6.4,"Euro, Knockout stage, Round of 16: Germany vs Denmark",https://www.sofascore.com/football/match/germany-denmark/BObslUb#id:11874018
Thomas Delaney,6.6,"Euro, Knockout stage, Round of 16: Germany vs Denmark",https://www.sofascore.com/football/match/germany-denmark/BObslUb#id:11874018
Joakim Mæhle,6.6,"Euro, Knockout stage, Round of 16: Germany vs Denmark",https://www.sofascore.com/football/match/germany-denmark/BObslUb#id:11874018
Andreas Skov Olsen,6.8,"Euro, Knockout stage, Round of 16: Germany vs Denmark",https://www.sofascore.com/football/match/germany-denmark/BObslUb#id:11874018
Rasmus Højlund,6.7,"Euro, Knockout stage, Round of 16: Germany vs Denmark",https://www.sofascore.com/football/match/germany-denmark/BObslUb#id:11874018
Emre Can,6.8,"Euro, Knockout stage, Round of 16: Germany vs Denmark",https://www.sofascore.com/football/match/germany-denmark/BObslUb#id:11874018
Niclas Füllkrug,6.6,"Euro, Knockout stage, Round of 16: Germany vs Denmark",https://www.sofascore.com/football/match/germany-denmark/BObslUb#id:11874018
Benjamin Henrichs,6.6,"Euro, Knockout stage, Round of 16: Germany vs Denmark",https://www.sofascore.com/football/match/germany-denmark/BObslUb#id:11874018
Florian Wirtz,7.4,"Euro, Knockout stage, Round of 16: Germany vs Denmark",https://www.sofascore.com/football/match/germany-denmark/BObslUb#id:11874018
Waldemar Anton,6.6,"Euro, Knockout stage, Round of 16: Germany vs Denmark",https://www.sofascore.com/football/match/germany-denmark/BObslUb#id:11874018
Christian Nørgaard,6.7,"Euro, Knockout stage, Round of 16: Germany vs Denmark",https://www.sofascore.com/football/match/germany-denmark/BObslUb#id:11874018
Yussuf Poulsen,6.5,"Euro, Knockout stage, Round of 16: Germany vs Denmark",https://www.sofascore.com/football/match/germany-denmark/BObslUb#id:11874018
Victor Kristiansen,6.7,"Euro, Knockout stage, Round of 16: Germany vs Denmark",https://www.sofascore.com/football/match/germany-denmark/BObslUb#id:11874018
Jacob Bruun Larsen,6.6,"Euro, Knockout stage, Round of 16: Germany vs Denmark",https://www.sofascore.com/football/match/germany-denmark/BObslUb#id:11874018
Jonas Wind,6.5,"Euro, Knockout stage, Round of 16: Germany vs Denmark",https://www.sofascore.com/football/match/germany-denmark/BObslUb#id:11874018
Dani Olmo,9.0,"Euro, Knockout stage, Quarterfinal: Spain vs Germany",https://www.sofascore.com/football/match/germany-spain/YTbslUb#id:11874027
Unai Simón,8.3,"Euro, Knockout stage, Quarterfinal: Spain vs Germany",https://www.sofascore.com/football/match/germany-spain/YTbslUb#id:11874027
Aymeric Laporte,7.6,"Euro, Knockout stage, Quarterfinal: Spain vs Germany",https://www.sofascore.com/football/match/germany-spain/YTbslUb#id:11874027
