match_team_id,match_id,team_id,goals_against_real,shots_against,total_xt_against,total_xt_only_positive_against,total_xt_only_negative_against,total_xt_only_successful_against,passes,passes_against,n_tackles,match_info,match_info_team_id
10502_366,10502,366,1,18,-1.34505229,0.71272632,-2.05777861,-0.01884878,194,257,35,fifa-men-s-world-cup-2022-4-st-england-senegal,fifa-men-s-world-cup-2022-4-st-england-senegal_50
10502_51,10502,51,3,13,-0.41051975,0.51156637,-0.92208612,0.26633194,257,194,21,fifa-men-s-world-cup-2022-2-st-argentina-mexico,fifa-men-s-world-cup-2022-2-st-argentina-mexico_58
10503_364,10503,364,1,5,-0.83463347,0.5187709,-1.35340437,0.16141261,313,235,27,fifa-men-s-world-cup-2022-3-st-australia-denmark,fifa-men-s-world-cup-2022-3-st-australia-denmark_367
10503_386,10503,386,2,14,-0.66191848,0.66679851,-1.32871699,-0.00175803,235,313,22,fifa-men-s-world-cup-2022-8-st-argentina-france,fifa-men-s-world-cup-2022-8-st-argentina-france_363
10504_363,10504,363,1,12,-1.19073883,0.43566084,-1.62639967,-0.4075481,244,202,22,fifa-men-s-world-cup-2022-2-st-south-korea-ghana,fifa-men-s-world-cup-2022-2-st-south-korea-ghana_377
10504_376,10504,376,3,17,-0.60758996,0.62345507,-1.23104503,-0.06500286,202,244,19,fifa-men-s-world-cup-2022-3-st-serbia-switzerland,fifa-men-s-world-cup-2022-3-st-serbia-switzerland_375
10505_372,10505,372,3,7,-0.60247617,0.56893953,-1.1714157,0.02771151,182,253,25,fifa-men-s-world-cup-2022-4-st-brazil-south-korea,fifa-men-s-world-cup-2022-4-st-brazil-south-korea_361
10505_50,10505,50,0,10,-0.56211868,0.40716647,-0.96928515,-0.08493072,253,182,17,fifa-men-s-world-cup-2022-2-st-argentina-mexico,fifa-men-s-world-cup-2022-2-st-argentina-mexico_364
10506_371,10506,371,1,16,-0.60500354,1.70632578,-2.31132932,1.23281629,329,290,51,fifa-men-s-world-cup-2022-2-st-spain-germany,fifa-men-s-world-cup-2022-2-st-spain-germany_52
10506_57,10506,57,1,20,-2.00089693,1.25049391,-3.25139084,0.10298626,290,329,41,fifa-men-s-world-cup-2022-1-st-morocco-croatia,fifa-men-s-world-cup-2022-1-st-morocco-croatia_374
10507_361,10507,361,1,12,-0.98861189,0.58544284,-1.57405473,-0.15257929,278,265,21,fifa-men-s-world-cup-2022-1-st-england-iran,fifa-men-s-world-cup-2022-1-st-england-iran_50
10507_377,10507,377,4,18,-0.53391429,0.68852126,-1.22243555,0.06321895,265,278,18,fifa-men-s-world-cup-2022-6-st-france-morocco,fifa-men-s-world-cup-2022-6-st-france-morocco_363
10508_374,10508,374,0,17,-1.1101039,1.22626321,-2.33636711,-0.24998113,192,413,29,fifa-men-s-world-cup-2022-2-st-croatia-canada,fifa-men-s-world-cup-2022-2-st-croatia-canada_380
10508_52,10508,52,0,10,-2.09453739,0.3883157,-2.48285309,-0.56657487,413,192,21,fifa-men-s-world-cup-2022-3-st-netherlands-qatar,fifa-men-s-world-cup-2022-3-st-netherlands-qatar_366
10509_365,10509,365,1,10,-0.74126623,0.51669541,-1.25796164,-0.01395052,229,213,19,fifa-men-s-world-cup-2022-1-st-portugal-ghana,fifa-men-s-world-cup-2022-1-st-portugal-ghana_365
10509_370,10509,370,6,14,-0.90318041,0.62878879,-1.5319692,-0.02788306,213,229,16,fifa-men-s-world-cup-2022-5-st-morocco-portugal,fifa-men-s-world-cup-2022-5-st-morocco-portugal_374
10510_361,10510,361,1,6,-0.45117942,0.56468304,-1.01586246,0.1643504,228,256,25,fifa-men-s-world-cup-2022-3-st-wales-england,fifa-men-s-world-cup-2022-3-st-wales-england_50
10510_371,10510,371,1,17,-1.04362473,0.64881789,-1.69244262,-0.08223077,256,228,13,fifa-men-s-world-cup-2022-3-st-iran-united-states,fifa-men-s-world-cup-2022-3-st-iran-united-states_373
10511_364,10511,364,2,5,-1.34140821,0.62190111,-1.96330932,-0.22863389,179,267,26,fifa-men-s-world-cup-2022-3-st-ecuador-senegal,fifa-men-s-world-cup-2022-3-st-ecuador-senegal_372
10511_366,10511,366,2,8,-0.56606669,0.41153595,-0.97760264,0.08423918,267,179,22,fifa-men-s-world-cup-2022-2-st-tunisia-australia,fifa-men-s-world-cup-2022-2-st-tunisia-australia_378
10512_365,10512,365,1,11,-0.09188516,0.28061534,-0.3725005,0.17484568,279,125,26,fifa-men-s-world-cup-2022-1-st-uruguay-south-korea,fifa-men-s-world-cup-2022-1-st-uruguay-south-korea_377
