metric,metric_group,icc_oneway,icc_ci_lower,icc_ci_upper,icc_p_value,icc_lme,n_teams,mean_matches_per_team,f_stat,mean_cv,median_cv
valued_involvement_coactivity,valued_involvement,0.287,0.109,0.497,0.0004,0.0,32,3.68,2.48,0.231,0.238
valued_fault_coactivity,valued_fault,0.283,0.105,0.493,0.0005,0.0,32,3.68,2.45,0.223,0.227
valued_fault_total_weight,valued_fault,0.277,0.099,0.487,0.0006,0.0,32,3.68,2.41,0.31,0.288
valued_involvement_total_weight,valued_involvement,0.273,0.096,0.484,0.0007,0.263,32,3.68,2.38,0.307,0.303
valued_contribution_coactivity,valued_contribution,0.262,0.087,0.474,0.001,0.0,32,3.68,2.31,0.286,0.274
valued_involvement_weight_density,valued_involvement,0.23,0.058,0.443,0.0033,0.0,32,3.68,2.1,0.3,0.328
valued_fault_weight_density,valued_fault,0.227,0.055,0.439,0.0037,0.0,32,3.68,2.08,0.293,0.291
valued_contribution_total_weight,valued_contribution,0.102,-0.049,0.309,0.102,0.0,32,3.68,1.42,0.466,0.413
valued_contribution_n_edges,valued_contribution,0.089,-0.059,0.295,0.131,0.0,32,3.68,1.36,0.127,0.118
valued_contribution_weight_density,valued_contribution,0.085,-0.062,0.291,0.1401,0.0,32,3.68,1.34,0.44,0.406
valued_involvement_n_edges,valued_involvement,0.041,-0.097,0.24,0.2913,0.0,32,3.68,1.16,0.094,0.081
valued_fault_n_edges,valued_fault,0.022,-0.111,0.217,0.3737,0.0,32,3.68,1.08,0.105,0.092
valued_involvement_n_players,valued_involvement,-0.018,-0.141,0.168,0.5727,0.0,32,3.68,0.93,0.058,0.042
valued_contribution_n_players,valued_contribution,-0.038,-0.155,0.143,0.6693,0.0,32,3.68,0.86,0.066,0.062
valued_fault_n_players,valued_fault,-0.053,-0.166,0.124,0.7368,0.0,32,3.68,0.82,0.065,0.059
valued_involvement_edge_density,valued_involvement,-0.098,-0.198,0.064,0.8969,0.0,32,3.68,0.67,0.06,0.061
valued_contribution_edge_density,valued_contribution,-0.123,-0.215,0.031,0.9473,0.0,32,3.68,0.6,0.11,0.094
valued_fault_edge_density,valued_fault,-0.167,-0.245,-0.033,0.9901,0.0,32,3.68,0.47,0.068,0.072
