match_team_id,match_id,team_id,team_name,goals_against,shots_against,xg_against,n_tackles,goal_difference,result,competition_stage,passes_against
10502_366,10502,366,Netherlands,1,18,1.6521,35,2,win,Round of 16,598
10502_51,10502,51,United States,3,13,1.4819,21,-2,lose,Round of 16,432
10503_364,10503,364,Argentina,1,5,0.4261,27,1,win,Round of 16,463
10503_386,10503,386,Australia,2,14,1.4816,22,-1,lose,Round of 16,727
10504_363,10504,363,France,1,12,0.81,22,2,win,Round of 16,474
10504_376,10504,376,Poland,3,17,1.1264,19,-2,lose,Round of 16,574
10505_372,10505,372,Senegal,3,7,1.02,25,-3,lose,Round of 16,612
10505_50,10505,50,England,0,10,0.9728,17,3,win,Round of 16,392
10506_371,10506,371,Croatia,1,16,1.069,51,0,draw,Round of 16,558
10506_57,10506,57,Japan,1,20,0.8544,41,0,draw,Round of 16,768
10507_361,10507,361,Brazil,1,12,0.3448,21,3,win,Round of 16,550
10507_377,10507,377,South Korea,4,18,2.4779,18,-3,lose,Round of 16,622
10508_374,10508,374,Morocco,0,17,0.495,29,0,draw,Round of 16,1041
10508_52,10508,52,Spain,0,10,0.5704,21,0,draw,Round of 16,355
10509_365,10509,365,Portugal,1,10,1.2718,19,5,win,Round of 16,519
10509_370,10509,370,Switzerland,6,14,2.2843,16,-5,lose,Round of 16,472
10510_361,10510,361,Brazil,1,6,0.6329,25,0,draw,Quarter-finals,556
10510_371,10510,371,Croatia,1,17,1.8163,13,0,draw,Quarter-finals,566
10511_364,10511,364,Argentina,2,5,0.5695,26,0,draw,Quarter-finals,601
10511_366,10511,366,Netherlands,2,8,1.1557,22,0,draw,Quarter-finals,408
10512_365,10512,365,Portugal,1,11,0.972,26,-1,lose,Quarter-finals,248
10512_374,10512,374,Morocco,0,11,0.7441,29,1,win,Quarter-finals,702
10513_363,10513,363,France,1,15,0.7856,39,1,win,Quarter-finals,527
10513_50,10513,50,England,2,9,0.8394,17,-1,lose,Quarter-finals,392
10514_364,10514,364,Argentina,0,12,0.4101,22,3,win,Semi-finals,629
10514_371,10514,371,Croatia,3,10,1.0809,16,-3,lose,Semi-finals,429
10515_363,10515,363,France,0,15,1.2304,28,2,win,Semi-finals,589
10515_374,10515,374,Morocco,2,16,2.0024,19,-2,lose,Semi-finals,387
10516_371,10516,371,Croatia,1,8,0.9915,24,1,win,3rd Place Final,490
10516_374,10516,374,Morocco,2,14,0.8493,19,-1,lose,3rd Place Final,504
10517_363,10517,363,France,3,28,1.9748,45,0,draw,Final,672
10517_364,10517,364,Argentina,3,15,0.7056,33,0,draw,Final,556
3812_366,3812,366,Netherlands,0,17,0.6915,29,2,win,Group Stage,411
3812_372,3812,372,Senegal,2,10,1.1239,38,-2,lose,Group Stage,480
3813_373,3813,373,Iran,6,12,1.9872,22,-4,lose,Group Stage,831
3813_50,3813,50,England,2,8,0.6722,21,4,win,Group Stage,251
3814_360,3814,360,Qatar,2,11,0.3705,28,-2,lose,Group Stage,513
3814_381,3814,381,Ecuador,0,5,0.3042,28,2,win,Group Stage,458
3815_384,3815,384,Wales,1,6,0.6025,30,0,draw,Group Stage,588
3815_51,3815,51,United States,1,7,0.6118,25,0,draw,Group Stage,430
3816_364,3816,364,Argentina,2,3,0.1535,28,-1,lose,Group Stage,269
3816_382,3816,382,Saudi Arabia,1,21,1.7081,25,1,win,Group Stage,643
3817_367,3817,367,Denmark,0,13,1.0599,26,0,draw,Group Stage,403
3817_378,3817,378,Tunisia,0,13,1.5666,27,0,draw,Group Stage,629
3818_376,3818,376,Poland,0,13,0.5291,33,0,draw,Group Stage,513
3818_58,3818,58,Mexico,0,8,0.3544,25,0,draw,Group Stage,353
3819_363,3819,363,France,1,4,0.3233,23,3,win,Group Stage,466
3819_386,3819,386,Australia,4,22,3.1705,17,-3,lose,Group Stage,736
3820_371,3820,371,Croatia,0,8,0.3626,26,0,draw,Group Stage,380
3820_374,3820,374,Morocco,0,6,0.8499,24,0,draw,Group Stage,673
3821_368,3821,368,Germany,2,12,1.2493,26,-1,lose,Group Stage,286
