team,team_id,round_of_16,final_8,final_4,total_xg
Argentina,364,1,1,1,10.01944292
Australia,386,1,0,0,1.578171506
Belgium,362,0,0,0,3.694493028
Brazil,361,1,1,0,9.719092981
Cameroon,379,0,0,0,3.06674345
Canada,380,0,0,0,3.145125529
Costa Rica,385,0,0,0,1.234112451
Croatia,371,1,1,1,6.901702399
Denmark,367,0,0,0,3.192257232
Ecuador,381,0,0,0,3.02322839
England,50,1,1,0,7.168856199
France,363,1,1,1,10.25485818
Germany,368,0,0,0,7.447577932
Ghana,383,0,0,0,2.569753279
Iran,373,0,0,0,3.046906488
Japan,57,1,0,0,4.249570514
Mexico,58,0,0,0,3.057649911
Morocco,374,1,1,1,5.544369942
Netherlands,366,1,1,0,4.99378704
Poland,376,1,0,0,3.096221082
Portugal,365,1,1,0,5.745710428
Qatar,360,0,0,0,1.407991699
Saudi Arabia,382,0,0,0,2.418049268
Senegal,372,1,0,0,3.491228472
Serbia,375,0,0,0,3.090397962
South Korea,377,1,0,0,3.604595089
Spain,52,1,0,0,3.970627257
Switzerland,370,1,0,0,6.090516355
Tunisia,378,0,0,0,2.410452449
United States,51,1,0,0,3.938537942
Uruguay,369,0,0,0,3.270533857
Wales,384,0,0,0,1.435480701
