match_id,defender_id,defender_name,passes_against_on_field
3812,11094,Cody Gakpo,372
3812,11241,Andries Noppert,395
3812,13055,Nicolas Jackson,101
3812,13228,Youssouf Sabaly,468
3812,13901,Pape Abou Cissé,468
3812,1522,Frenkie de Jong,395
3812,2059,Edouard Mendy,468
3812,214,Nampalys Mendy,468
3812,284,Nathan Aké,395
3812,3315,Vincent Janssen,265
3812,37,Virgil van Dijk,395
3812,3848,Abdou Diallo,326
3812,3858,Idrissa Gueye,468
3812,3895,Ismail Jakobs,142
3812,3903,Krépin Diatta,367
3812,3978,Pape Gueye,101
3812,3996,Bamba Dieng,108
3812,428,Ismaïla Sarr,468
3812,474,Cheikhou Kouyaté,367
3812,7988,Boulaye Dia,360
3812,8026,Daley Blind,395
3812,8033,Davy Klaassen,87
3812,8034,Steven Berghuis,308
3812,8045,Matthijs De Ligt,395
3812,8134,Denzel Dumfries,395
3812,8326,Teun Koopmeiners,87
3812,8327,Marten De Roon,23
3812,8342,Memphis Depay,130
3812,84,Steven Bergwijn,308
3812,9993,Kalidou Koulibaly,468
3843,12529,Matias Vina,52
3843,133,Bruno Fernandes,418
3843,1368,Jose Gimenez,621
3843,13924,Sergio Rochet,621
3843,13926,Diego Godin,460
3843,13927,Guillermo Varela,621
3843,1393,Joao Felix,343
3843,13930,Giorgian De Arrascaeta,161
3843,1535,Luis Suarez,110
3843,1545,Mathí­as Olivera,569
3843,1684,Federico Valverde,621
3843,17,João Cancelo,418
3843,1836,Maxi Gomez,110
3843,1876,William Carvalho,344
3843,2066,Ruben Dias,418
3843,2075,Facundo Pellistri,161
3843,2077,Edinson Cavani,511
3843,240,Rúben Neves,259
3843,27,Bernardo Silva,418
3843,4666,Raphaël Guerreiro,286
3843,6020,Cristiano Ronaldo,343
3843,6038,Nuno Mendes,132
3843,7584,Rodrigo Bentancur,621
3843,8008,Goncalo Ramos,75
3843,8009,Darwin Nunez,511
3843,8071,Sebastian Coates,621
3843,8077,Joao Palhinha,75
3843,8079,Matheus Nunes,75
3843,8133,Matias Vecino,460
3843,8538,Diogo Costa,418
3843,8564,Pepe,418
3843,8593,Rafael Leao,159
3859,1168,Nouhou Tolo,556
3859,12945,Bremer,320
3859,132,Fred,200
3859,13830,Pedro,105
3859,13831,Everton Ribeiro,120
3859,13871,Devis Epassy,556
3859,13872,Collins Fai,556
3859,13873,Pierre Kunde,382
3859,13875,Vincent Aboubakar,556
3859,13878,Jerome Mbekeli,79
3859,162,Gabriel Martinelli,320
3859,1676,Eder Militao,320
3859,1697,Rodrygo,200
3859,1977,André Zambo Anguissa,556
3859,2071,Alex Telles,200
3859,2074,Raphinha,37
3859,30,Gabriel Jesus,215
3859,3846,Marquinhos,120
3859,3924,Bruno Guimarães,120
3859,3934,Karl Toko Ekambi,187
3859,4207,Christopher Wooh,556
3859,4316,Enzo Ebosse,556
3859,44,Fabinho,320
3859,4626,Eric Maxim Choupo-Moting,556
3859,5074,Bryan Mbeumo,369
3859,6,Ederson,320
3859,7605,Olivier Ntcham,174
3859,8039,Antony,283
3859,8402,Nicolas Ngamaleu,477
3859,9330,Dani Alves,320
3857,11488,Ricardo Horta,367
3857,11853,Antonio Silva,367
3857,1257,In-beom Hwang,585
3857,127,Diogo Dalot,367
3857,13907,Seun-gyu Kim,585
3857,13910,Kyung-won Kwon,585
3857,13911,Young-gwon Kim,499
3857,13912,Jin-su Kim,585
3857,13915,Yu-min Cho,26
3857,13920,Jun-ho Son,86
3857,13922,Woo-young Jung,585
3857,13923,Gue-sung Cho,559
3857,17,João Cancelo,367
3857,1830,Kang-in Lee,499
3857,1876,William Carvalho,65
3857,1907,Vitinha,302
3857,240,Rúben Neves,267
3857,2443,Moon-hwan Kim,585
3857,27,Bernardo Silva,65
3857,4280,Ui-jo Hwang,86
3857,4912,André Silva,100
3857,4915,Hee-chan Hwang,150
3857,5038,Jae-sung Lee,435
3857,6020,Cristiano Ronaldo,267
3857,8000,Joao Mario,302
3857,8077,Joao Palhinha,100
3857,8079,Matheus Nunes,267
3857,83,Heung-min Son,585
3857,8538,Diogo Costa,367
3857,8564,Pepe,367
3857,8593,Rafael Leao,100
3829,12154,Famara Diedhiou,335
3829,13032,Pathe Ciss,138
3829,13228,Youssouf Sabaly,425
3829,13901,Pape Abou Cissé,69
3829,13942,Meshaal Barsham,525
3829,13944,Abdelkarim Hassan,525
3829,13945,Boualem Khoukhi,525
3829,13946,Pedro Miguel,449
3829,13947,Ismaeel Mohammed,525
3829,13949,Tarek Salman,76
3829,13951,Homam Ahmed,449
3829,13953,Karim Boudiaf,405
3829,13954,Abdulaziz Hatem,120
3829,13956,Assim Madibo,525
3829,13958,Mohammed Waad,76
3829,13960,Hasan Al-Haydos,422
3829,13961,Akram Afif,525
3829,13962,Almoez Ali,525
3829,13963,Mohammed Muntari,103
3829,2059,Edouard Mendy,425
3829,214,Nampalys Mendy,356
3829,2144,Iliman Ndiaye,90
3829,3848,Abdou Diallo,425
3829,3858,Idrissa Gueye,425
3829,3895,Ismail Jakobs,356
3829,3903,Krépin Diatta,287
3829,3996,Bamba Dieng,90
3829,4152,Pape Sarr,69
