metric_family,node_metric,outcome,kind,min,average,sum,product,r_range_trio,r_range_all
Total Strength,raw_involvement,goals_against,raw,+0.28**,+0.28**,+0.28**,+0.26**,0.002610750837920117,0.025946348684530496
Total Strength,raw_involvement,goals_against,partial,+0.24**,+0.24**,+0.24**,+0.19*,0.00682143799980256,0.05046147848763993
Total Strength,raw_involvement,shots_against,raw,+0.49***,+0.50***,+0.50***,+0.48***,0.0035552986785439833,0.014603980456300736
Total Strength,raw_involvement,shots_against,partial,+0.26**,+0.26**,+0.26**,+0.25**,0.004761688824056698,0.016375329713933184
Total Strength,raw_involvement,xg_against,raw,+0.41***,+0.41***,+0.41***,+0.40***,0.002436872069189411,0.017335772207042077
Total Strength,raw_involvement,xg_against,partial,+0.32***,+0.33***,+0.33***,+0.29***,0.006656204233796925,0.037054625376087114
Gini (strength inequality),raw_involvement,goals_against,raw,+0.07,+0.06,+0.06,+0.06,0.001692649863699533,0.008749935433823235
Gini (strength inequality),raw_involvement,goals_against,partial,+0.04,+0.04,+0.04,+0.03,0.004149360173444784,0.005553662323515458
Gini (strength inequality),raw_involvement,shots_against,raw,-0.00,-0.00,-0.00,-0.01,0.002158591775008248,0.006867905342020024
Gini (strength inequality),raw_involvement,shots_against,partial,-0.08,-0.08,-0.08,-0.07,0.00450708428052099,0.009024901411108718
Gini (strength inequality),raw_involvement,xg_against,raw,-0.05,-0.05,-0.05,-0.05,0.0011998211046294824,0.0038317927601841523
Gini (strength inequality),raw_involvement,xg_against,partial,-0.10,-0.10,-0.10,-0.09,0.0030379719698334223,0.006335882850763225
Clustering (weighted),raw_involvement,goals_against,raw,-0.00,-0.03,-0.03,+0.00,0.02339544844370468,0.028264955798851524
Clustering (weighted),raw_involvement,goals_against,partial,+0.04,+0.02,+0.02,+0.03,0.015091411003447491,0.015091411003447491
Clustering (weighted),raw_involvement,shots_against,raw,+0.03,-0.01,-0.01,+0.03,0.031161403003516237,0.035602871967154316
Clustering (weighted),raw_involvement,shots_against,partial,+0.14,+0.13,+0.13,+0.12,0.009537025082609368,0.021715635234915764
Clustering (weighted),raw_involvement,xg_against,raw,+0.07,+0.03,+0.03,+0.06,0.046170568344086935,0.046170568344086935
Clustering (weighted),raw_involvement,xg_against,partial,+0.14,+0.11,+0.11,+0.12,0.03324311873284558,0.03324311873284558
Freeman Centralization (weighted),raw_involvement,goals_against,raw,+0.14,+0.14,+0.14,+0.13,0.004763941778216235,0.015714357770434867
Freeman Centralization (weighted),raw_involvement,goals_against,partial,+0.11,+0.11,+0.11,+0.10,0.007262887567166809,0.011128835282829
Freeman Centralization (weighted),raw_involvement,shots_against,raw,+0.09,+0.09,+0.09,+0.08,0.005314017080932015,0.009557406170713975
Freeman Centralization (weighted),raw_involvement,shots_against,partial,+0.01,-0.00,-0.00,+0.02,0.01319658978403539,0.01769391703889183
Freeman Centralization (weighted),raw_involvement,xg_against,raw,+0.07,+0.07,+0.07,+0.06,0.003985280546424039,0.010779076579186309
Freeman Centralization (weighted),raw_involvement,xg_against,partial,+0.02,+0.01,+0.01,+0.02,0.008514607534572012,0.008514607534572012
Total Strength,raw_fault,goals_against,raw,+0.28**,+0.28**,+0.28**,+0.25**,0.0005856456876303096,0.025176779686126305
Total Strength,raw_fault,goals_against,partial,+0.22*,+0.22*,+0.22*,+0.18*,0.0003816599526968445,0.041288209777382345
Total Strength,raw_fault,shots_against,raw,+0.48***,+0.48***,+0.48***,+0.47***,0.0027749139080079366,0.01853514064027001
Total Strength,raw_fault,shots_against,partial,+0.25**,+0.25**,+0.25**,+0.23**,0.0036538629680488433,0.018852195545242034
Total Strength,raw_fault,xg_against,raw,+0.41***,+0.41***,+0.41***,+0.39***,0.0015366578273500187,0.02216769296583959
Total Strength,raw_fault,xg_against,partial,+0.30***,+0.31***,+0.31***,+0.27**,0.002969471787350797,0.03714163758389971
Gini (strength inequality),raw_fault,goals_against,raw,+0.11,+0.10,+0.10,+0.09,0.002633818442818181,0.012864021687992125
Gini (strength inequality),raw_fault,goals_against,partial,+0.08,+0.07,+0.07,+0.07,0.004830859022270387,0.010517198633209948
Gini (strength inequality),raw_fault,shots_against,raw,+0.04,+0.04,+0.04,+0.04,0.0008138733632929995,0.005466288500177406
Gini (strength inequality),raw_fault,shots_against,partial,-0.03,-0.04,-0.04,-0.03,0.00534972205390373,0.00804246279994383
Gini (strength inequality),raw_fault,xg_against,raw,+0.02,+0.02,+0.02,+0.01,0.001203577566638657,0.006974523994398869
Gini (strength inequality),raw_fault,xg_against,partial,-0.03,-0.03,-0.03,-0.03,0.002526644847344106,0.002526644847344106
