metric,outcome,kind,r,p,n,p_perm,p_WY
raw_involvement,goals_against,raw,0.2803466141362664,0.001349814106054986,128,0.0015,0.0858
raw_involvement,goals_against,partial,0.23505137399343015,0.007812194354160533,128,0.0069,0.2822
raw_involvement,shots_against,raw,0.4920778494274687,3.6550828032084907e-09,128,0.0001,0.0096
raw_involvement,shots_against,partial,0.25719080175315634,0.0035115057550737312,128,0.0034,0.1684
raw_involvement,xg_against,raw,0.41065642236279737,1.4750065691366578e-06,128,0.0001,0.0096
raw_involvement,xg_against,partial,0.3198062406425375,0.0002472064708488897,128,0.0007,0.0456
raw_fault,goals_against,raw,0.27711901641163184,0.0015415436881418844,128,0.0017,0.0953
raw_fault,goals_against,partial,0.22270543129413106,0.011848068533948037,128,0.0105,0.3658
raw_fault,shots_against,raw,0.4817946311480906,8.5252942800642e-09,128,0.0001,0.0096
raw_fault,shots_against,partial,0.2491577075249915,0.004731105553309238,128,0.004,0.1897
raw_fault,xg_against,raw,0.405675015905677,2.0285064547518913e-06,128,0.0001,0.0096
raw_fault,xg_against,partial,0.3049209109152027,0.0004908517573310058,128,0.0009,0.0556
raw_contribution,goals_against,raw,0.2531281672106729,0.003941222708555977,128,0.0041,0.1903
raw_contribution,goals_against,partial,0.1890226689204831,0.033308796276724194,128,0.0332,0.692
raw_contribution,shots_against,raw,0.45743434847646663,5.690667706368178e-08,128,0.0001,0.0096
raw_contribution,shots_against,partial,0.18972703350616063,0.032645258408195155,128,0.032,0.6916
raw_contribution,xg_against,raw,0.37150742448985413,1.5783966694168556e-05,128,0.0001,0.0096
raw_contribution,xg_against,partial,0.25120868911026195,0.004388194304108395,128,0.0039,0.1881
valued_involvement,goals_against,raw,0.15632323618472183,0.07805310074827014,128,0.0768,0.9108
valued_involvement,goals_against,partial,0.06698729396268267,0.4542879959936926,128,0.4415,1.0
valued_involvement,shots_against,raw,0.5510496055289045,1.585449856233396e-11,128,0.0001,0.0096
valued_involvement,shots_against,partial,0.40513206244419797,2.304965663174158e-06,128,0.0001,0.0096
