weight,phase,within,between,delta,p,p_WY
raw_involvement,full,0.608,0.566,0.041,0.0001,0.0019
raw_involvement,own,0.512,0.503,0.009,0.2222,0.3867
raw_involvement,mid,0.568,0.528,0.039,0.0004,0.0042
raw_involvement,high_press,0.589,0.53,0.058,0.0001,0.0019
raw_fault,full,0.61,0.568,0.042,0.0001,0.0019
raw_fault,own,0.497,0.489,0.009,0.2239,0.3878
raw_fault,mid,0.567,0.531,0.037,0.0007,0.0064
raw_fault,high_press,0.586,0.528,0.058,0.0001,0.0019
raw_contribution,full,0.545,0.51,0.035,0.0007,0.0064
raw_contribution,own,0.455,0.45,0.005,0.3299,0.4985
raw_contribution,mid,0.491,0.446,0.045,0.0001,0.0019
raw_contribution,high_press,0.335,0.303,0.032,0.0057,0.0298
valued_involvement,full,0.597,0.563,0.034,0.0006,0.0059
valued_involvement,own,0.498,0.5,-0.002,0.5629,0.691
valued_involvement,mid,0.556,0.52,0.036,0.0007,0.0064
valued_involvement,high_press,0.531,0.483,0.048,0.0002,0.0025
valued_contribution,full,0.497,0.479,0.018,0.0449,0.136
valued_contribution,own,0.408,0.415,-0.007,0.7276,0.7277
valued_contribution,mid,0.444,0.406,0.038,0.0007,0.0064
valued_contribution,high_press,0.276,0.246,0.03,0.0103,0.0479
valued_fault,full,0.595,0.558,0.037,0.0004,0.0042
valued_fault,own,0.477,0.478,-0.001,0.5389,0.691
valued_fault,mid,0.552,0.516,0.035,0.001,0.007
valued_fault,high_press,0.53,0.481,0.05,0.0002,0.0025
