control,kind,metric,zone,outcome,r,p_perm,p_WY,p_WY_216
raw,raw,inv,own,goals_against,0.3917408083297051,0.025798710064496775,0.3946302684865757,0.5948702564871756
raw,raw,inv,own,shots_against,0.7241718929456762,4.999750012499375e-05,0.0034998250087495625,0.006849657517124144
raw,raw,inv,own,xg_against,0.45629309599135465,0.00839958002099895,0.18859057047147643,0.31808409579521024
raw,raw,inv,mid,goals_against,0.03779684887199388,0.8352582370881456,0.9996500174991251,1.0
raw,raw,inv,mid,shots_against,0.22260806096902094,0.22538873056347183,0.9178541072946352,0.9909004549772511
raw,raw,inv,mid,xg_against,0.02487313052159916,0.8942552872356382,0.9996500174991251,1.0
raw,raw,inv,high_press,goals_against,-0.2851245252488295,0.11659417029148543,0.7897105144742763,0.9438528073596321
raw,raw,inv,high_press,shots_against,-0.6170430815102524,9.99950002499875e-05,0.005799710014499275,0.011249437528123594
raw,raw,inv,high_press,xg_against,-0.3208277135484139,0.07634618269086546,0.6752662366881655,0.8744562771861407
raw,raw,con,own,goals_against,0.3570171983211231,0.04774761261936903,0.5406229688515575,0.76031198440078
raw,raw,con,own,shots_against,0.6921598833920352,4.999750012499375e-05,0.0034998250087495625,0.006849657517124144
raw,raw,con,own,xg_against,0.4573847612928717,0.008449577521123944,0.18919054047297634,0.3193340332983351
raw,raw,con,mid,goals_against,-0.042058152279548344,0.8189090545472726,0.9996500174991251,1.0
raw,raw,con,mid,shots_against,-0.015924529970763646,0.9325033748312584,0.9996500174991251,1.0
raw,raw,con,mid,xg_against,-0.09991229319643322,0.5947702614869257,0.9984500774961252,1.0
raw,raw,con,high_press,goals_against,-0.3085489377062635,0.088045597720114,0.7206139693015349,0.9055047247637618
raw,raw,con,high_press,shots_against,-0.6385120107162117,9.99950002499875e-05,0.005799710014499275,0.011249437528123594
raw,raw,con,high_press,xg_against,-0.3670059658184935,0.04154792260386981,0.5085245737713114,0.727663616819159
raw,raw,fault,own,goals_against,0.4007466708250677,0.022098895055247238,0.35803209839508027,0.5493725313734313
raw,raw,fault,own,shots_against,0.720644159963286,4.999750012499375e-05,0.0034998250087495625,0.006849657517124144
raw,raw,fault,own,xg_against,0.4394608031424443,0.012649367531623419,0.2506874656267187,0.4088795560221989
raw,raw,fault,mid,goals_against,0.06886832362229242,0.7025648717564121,0.999550022498875,1.0
raw,raw,fault,mid,shots_against,0.297266901582861,0.10204489775511225,0.7605119744012799,0.9270536473176341
raw,raw,fault,mid,xg_against,0.08090558317852847,0.663366831658417,0.9994500274986251,1.0
raw,raw,fault,high_press,goals_against,-0.2636661026038874,0.14869256537173142,0.8455077246137693,0.9699015049247538
raw,raw,fault,high_press,shots_against,-0.5923146964116222,0.00039998000099995,0.018049097545122742,0.0327983600819959
raw,raw,fault,high_press,xg_against,-0.2928065373056986,0.10679466026698665,0.7721113944302785,0.9333033348332583
raw,valued,inv,own,goals_against,0.4000827033551925,0.021648917554122293,0.35338233088345583,0.5434228288585571
raw,valued,inv,own,shots_against,0.6507624520947728,4.999750012499375e-05,0.0034998250087495625,0.006849657517124144
raw,valued,inv,own,xg_against,0.4882755315609918,0.004549772511374431,0.1215939203039848,0.21168941552922355
raw,valued,inv,mid,goals_against,-0.2239846894038715,0.21308934553272335,0.9074546272686366,0.9885005749712514
raw,valued,inv,mid,shots_against,-0.2656383058301154,0.14139293035348233,0.8361581920903954,0.9654517274136293
raw,valued,inv,mid,xg_against,-0.2975025417657034,0.09729513524323784,0.7474626268686566,0.9225038748062597
raw,valued,inv,high_press,goals_against,-0.32259526693854407,0.07209639518024098,0.6619169041547922,0.8635568221588921
raw,valued,inv,high_press,shots_against,-0.6331709395364945,9.99950002499875e-05,0.005799710014499275,0.011249437528123594
raw,valued,inv,high_press,xg_against,-0.3671761638463083,0.040697965101744914,0.5020748962551872,0.7220138993050348
raw,valued,con,own,goals_against,0.39436255348777677,0.02689865506724664,0.4031798410079496,0.6057697115144243
raw,valued,con,own,shots_against,0.5792670489192641,0.0007499625018749063,0.03089845507724614,0.055547222638868056
raw,valued,con,own,xg_against,0.45406195202716826,0.008999550022498875,0.1967901604919754,0.3313334333283336
raw,valued,con,mid,goals_against,-0.3648584068005593,0.041997900104994754,0.5101744912754362,0.7300634968251587
raw,valued,con,mid,shots_against,-0.4766882571064267,0.006549672516374182,0.15829208539573023,0.2702864856757162
raw,valued,con,mid,xg_against,-0.40856505577324065,0.020598970051497426,0.3455827208639568,0.5307234638268087
raw,valued,con,high_press,goals_against,-0.33729958674922783,0.06184690765461727,0.6146692665366732,0.8263086845657717
raw,valued,con,high_press,shots_against,-0.6511878113131885,4.999750012499375e-05,0.0034998250087495625,0.006849657517124144
raw,valued,con,high_press,xg_against,-0.41866230392403636,0.018549072546372683,0.32338383080845956,0.5068246587670616
raw,valued,fault,own,goals_against,0.32226669321011847,0.07209639518024098,0.6619169041547922,0.8635568221588921
raw,valued,fault,own,shots_against,0.5804436404933244,0.000599970001499925,0.025248737563121845,0.045297735113244336
raw,valued,fault,own,xg_against,0.418894649032356,0.018049097545122742,0.32033398330083496,0.4994250287485626
raw,valued,fault,mid,goals_against,-0.05938188788280222,0.7489625518724063,0.9996500174991251,1.0
raw,valued,fault,mid,shots_against,-0.051361153669006024,0.7765111744412779,0.9996500174991251,1.0
raw,valued,fault,mid,xg_against,-0.1248336389108474,0.49722513874306284,0.9955502224888756,0.99990000499975
raw,valued,fault,high_press,goals_against,-0.31116567508958126,0.0847957602119894,0.7112144392780361,0.8988550572471377
raw,valued,fault,high_press,shots_against,-0.6187497786203408,0.0002999850007499625,0.014649267536623168,0.026698665066746664
raw,valued,fault,high_press,xg_against,-0.3544980618131097,0.04649767511624419,0.535923203839808,0.7541122943852807
ctrl FIFA,raw,inv,own,goals_against,0.2722633380206183,0.13164341782910854,0.8207589620518974,0.9594020298985051
ctrl FIFA,raw,inv,own,shots_against,0.6721953545547439,4.999750012499375e-05,0.0034998250087495625,0.006849657517124144
ctrl FIFA,raw,inv,own,xg_against,0.35348696595693874,0.04864756762161892,0.5445727713614319,0.7651617419129043
ctrl FIFA,raw,inv,mid,goals_against,-0.08014497996465551,0.6570671466426679,0.9993500324983751,1.0
ctrl FIFA,raw,inv,mid,shots_against,0.13338512038622952,0.47252637368131595,0.9945502724863757,0.99990000499975
ctrl FIFA,raw,inv,mid,xg_against,-0.0903716802729857,0.6220188990550473,0.9986500674966252,1.0
ctrl FIFA,raw,inv,high_press,goals_against,-0.13459063622417428,0.46052697365131745,0.9938503074846258,0.9998000099995
ctrl FIFA,raw,inv,high_press,shots_against,-0.5399697272777592,0.001799910004499775,0.05874706264686766,0.10844457777111144
ctrl FIFA,raw,inv,high_press,xg_against,-0.18332093279166378,0.3230838458077096,0.9700014999250037,0.9993500324983751
ctrl FIFA,raw,con,own,goals_against,0.21714650714303302,0.23348832558372082,0.9244537773111344,0.992250387480626
ctrl FIFA,raw,con,own,shots_against,0.6285465016567677,0.000199990000499975,0.010549472526373681,0.020098995050247488
ctrl FIFA,raw,con,own,xg_against,0.3441131564572978,0.054597270136493174,0.5772211389430528,0.7953102344882755
ctrl FIFA,raw,con,mid,goals_against,-0.06456591815966495,0.7248637568121594,0.9996500174991251,1.0
ctrl FIFA,raw,con,mid,shots_against,-0.03498808321183369,0.8524073796310184,0.9996500174991251,1.0
ctrl FIFA,raw,con,mid,xg_against,-0.1267236310761142,0.49312534373281336,0.9955502224888756,0.99990000499975
ctrl FIFA,raw,con,high_press,goals_against,-0.1591701206076687,0.38543072846357684,0.9854507274636268,0.999750012499375
ctrl FIFA,raw,con,high_press,shots_against,-0.5641063857645886,0.00119994000299985,0.04389780510974451,0.07944602769861507
ctrl FIFA,raw,con,high_press,xg_against,-0.2356284849887172,0.2031898405079746,0.9006549672516374,0.9859007049647518
ctrl FIFA,raw,fault,own,goals_against,0.3051694377789584,0.08844557772111394,0.7206139693015349,0.9058047097645118
ctrl FIFA,raw,fault,own,shots_against,0.6790014846183258,4.999750012499375e-05,0.0034998250087495625,0.006849657517124144
ctrl FIFA,raw,fault,own,xg_against,0.353189867308004,0.04904754762261887,0.5473226338683066,0.767811609419529
ctrl FIFA,raw,fault,mid,goals_against,-0.07718920026496806,0.6687665616719164,0.999550022498875,1.0
ctrl FIFA,raw,fault,mid,shots_against,0.19227673052787608,0.2974351282435878,0.9640517974101295,0.9983500824958752
ctrl FIFA,raw,fault,mid,xg_against,-0.057857566556812054,0.7544122793860307,0.9996500174991251,1.0
ctrl FIFA,raw,fault,high_press,goals_against,-0.11566477039965166,0.5267736613169341,0.9969001549922504,0.999950002499875
ctrl FIFA,raw,fault,high_press,shots_against,-0.5137623234723787,0.002999850007499625,0.08894555272236389,0.15999200039998
ctrl FIFA,raw,fault,high_press,xg_against,-0.15603760868269598,0.3971301434928254,0.9863506824658768,0.999750012499375
ctrl FIFA,valued,inv,own,goals_against,0.2900633363344935,0.1088445577721114,0.7721113944302785,0.9347032648367581
ctrl FIFA,valued,inv,own,shots_against,0.58934825638824,0.00034998250087495624,0.016449177541122944,0.029798510074496274
ctrl FIFA,valued,inv,own,xg_against,0.39785583166683053,0.026298685065746712,0.39893005349732513,0.599970001499925
