name,position,overall rating,club,country,defending rating,def_awareness_rating,interceptions,url,comp
Alexandra Popp,ST,88,VfL Wolfsburg,Germany,52,45,44,https://www.futbin.com/24/player/106/alexandra-popp,
Ewa Pajor,ST,87,VfL Wolfsburg,Poland,21,18,20,https://www.futbin.com/24/player/323/ewa-pajor,
Lena Oberdorf,CDM,87,VfL Wolfsburg,Germany,87,88,86,https://www.futbin.com/24/player/324/lena-oberdorf,
Lina Magull,CAM,87,FC Bayern München,Germany,57,45,76,https://www.futbin.com/24/player/339/lina-magull,
Lena Oberdorf,CDM,87,FC Bayern München,Germany,87,88,86,https://www.futbin.com/24/player/28882/lena-oberdorf,
Lea Schüller,ST,86,FC Bayern München,Germany,33,24,31,https://www.futbin.com/24/player/340/lea-schuller,
Merle Frohms,GK,85,VfL Wolfsburg,Germany,11,6,18,https://www.futbin.com/24/player/332/merle-frohms,
Kathrin Hendrich,CB,85,VfL Wolfsburg,Germany,86,89,86,https://www.futbin.com/24/player/337/kathrin-hendrich,
Svenja Huth,RM,85,VfL Wolfsburg,Germany,52,40,62,https://www.futbin.com/24/player/338/svenja-huth,
Linda Dallmann,CAM,84,FC Bayern München,Germany,46,46,50,https://www.futbin.com/24/player/341/linda-dallmann,
Pernille Harder,CAM,84,FC Bayern München,Denmark,27,21,21,https://www.futbin.com/24/player/343/pernille-harder,
Georgia Stanway,CDM,84,FC Bayern München,England,76,82,77,https://www.futbin.com/24/player/344/georgia-stanway,
Klara Bühl,LM,83,FC Bayern München,Germany,34,34,41,https://www.futbin.com/24/player/342/klara-buhl,
Magdalena Eriksson,CB,83,FC Bayern München,Sweden,85,89,80,https://www.futbin.com/24/player/345/magdalena-eriksson,
Katharina Naschenweng,LB,83,FC Bayern München,Austria,82,82,81,https://www.futbin.com/24/player/346/katharina-naschenweng,
Giulia Gwinn,LB,83,FC Bayern München,Germany,80,82,79,https://www.futbin.com/24/player/356/giulia-gwinn,
Sara Doorsoun,CB,83,Frankfurt,Germany,85,86,83,https://www.futbin.com/24/player/357/sara-doorsoun,
Laura Freigang,CAM,83,Frankfurt,Germany,26,21,20,https://www.futbin.com/24/player/359/laura-freigang,
Lara Prašnikar,ST,83,Frankfurt,Slovenia,44,41,51,https://www.futbin.com/24/player/362/lara-prasnikar,
Marina Hegering,CB,83,VfL Wolfsburg,Germany,84,86,78,https://www.futbin.com/24/player/364/marina-hegering,
Dominique Janssen,CB,83,VfL Wolfsburg,Netherlands,83,83,82,https://www.futbin.com/24/player/365/dominique-janssen,
Felicitas Rauch,LB,83,VfL Wolfsburg,Germany,81,83,79,https://www.futbin.com/24/player/517/felicitas-rauch,
Tabea Sellner,LM,83,VfL Wolfsburg,Germany,28,28,22,https://www.futbin.com/24/player/524/tabea-sellner,
Glódís Perla Viggósdóttir,CB,83,FC Bayern München,Iceland,86,88,82,https://www.futbin.com/24/player/529/glodis-perla-viggosdottir,
