competition_name,competition_id,host,match_day,season_name,season_id,kickoff_time,match_id,event_vendor,tracking_vendor,match_title,home_team_name,home_team_id,guest_team_name,guest_team_id,result,country,stadium_id,stadium_name,precipitation,pitch_x,pitch_y,total_time_first_half,total_time_second_half,playing_time_first_half,playing_time_second_half,ds_parser_version,xg_tag,xg_sha1,xpass_tag,xpass_sha1,fps,match_string,slugified_match_string,Unnamed: 0,date,endPeriod1,endPeriod2,halfPeriod,homeTeamStartLeft,homeTeamStartLeftExtraTime,period1,period2,startPeriod1,startPeriod2,videoUrl,awayTeam.shortName,awayTeamKit.name,awayTeamKit.primaryColor,awayTeamKit.primaryTextColor,awayTeamKit.secondaryColor,awayTeamKit.secondaryTextColor,homeTeam.shortName,homeTeamKit.name,homeTeamKit.primaryColor,homeTeamKit.primaryTextColor,homeTeamKit.secondaryColor,homeTeamKit.secondaryTextColor,stadium.id,stadium.name,stadium.pitches
Bundesliga,9a4f7a5d9a53e21255bb908af86858bb,Deutscher Fußball-Bund (DFB),18,2023/2024,DFL-SEA-0001K7,2024-04-13T12:00:10.520+00:00,3aeaa339c156f6b56ada4a3e90936266,sts,sts_t160,Bayer Leverkusen-Eintracht Frankfurt,Bayer Leverkusen,b5ea2a617276394ef53ab2a072111ab0,Eintracht Frankfurt,f9e8a773be5237478a5cd82f118bb857,2:0,Deutschland,DFL-STA-J001ZX,Ulrich-Haberland-Stadion,none,105.0,68.0,2826.08,2926.64,1661.52,1474.84,2.4.1.post15+g651a99a,mens23v2,4bf4bb216249698c183532f4bcfd4bffc34682c6,mens23v2,63737eba1ded671ba581cae5dee3e1b79f670bd1,25.0,Bundesliga 2023/2024: 18.ST Bayer Leverkusen - Eintracht Frankfurt,bundesliga-2023-2024-18-st-bayer-leverkusen-eintracht-frankfurt,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundesliga,9a4f7a5d9a53e21255bb908af86858bb,Deutscher Fußball-Bund (DFB),7,2023/2024,DFL-SEA-0001K7,2023-11-10T17:30:10.890+00:00,e551251f5a4b5e37ae5fce4620f0e28d,sts,sts_t160,Eintracht Frankfurt-Bayer Leverkusen,Eintracht Frankfurt,f9e8a773be5237478a5cd82f118bb857,Bayer Leverkusen,b5ea2a617276394ef53ab2a072111ab0,2:2,Deutschland,DFL-STA-J002A1,Stadion am Brentanobad,none,105.0,68.0,2844.32,2949.32,1748.28,1735.72,2.4.1.post15+g651a99a,mens23v2,4bf4bb216249698c183532f4bcfd4bffc34682c6,mens23v2,63737eba1ded671ba581cae5dee3e1b79f670bd1,25.0,Bundesliga 2023/2024: 7.ST Eintracht Frankfurt - Bayer Leverkusen,bundesliga-2023-2024-7-st-eintracht-frankfurt-bayer-leverkusen,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundesliga,9a4f7a5d9a53e21255bb908af86858bb,Deutscher Fußball-Bund (DFB),19,2023/2024,DFL-SEA-0001K7,2024-04-20T12:02:17.000+00:00,2f9bbf32da2ecd73128163fe3957ef2d,sts,sts_t160,Eintracht Frankfurt-1. FC Nürnberg,Eintracht Frankfurt,f9e8a773be5237478a5cd82f118bb857,1. FC Nürnberg,aab3502ab7183559fed36874c26d18af,4:1,Deutschland,DFL-STA-J002A1,Stadion am Brentanobad,none,105.0,68.0,2838.68,2897.76,1715.36,1636.4,2.4.1.post15+g651a99a,mens23v2,4bf4bb216249698c183532f4bcfd4bffc34682c6,mens23v2,63737eba1ded671ba581cae5dee3e1b79f670bd1,25.0,Bundesliga 2023/2024: 19.ST Eintracht Frankfurt - 1. FC Nürnberg,bundesliga-2023-2024-19-st-eintracht-frankfurt-1-fc-nurnberg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundesliga,9a4f7a5d9a53e21255bb908af86858bb,Deutscher Fußball-Bund (DFB),9,2023/2024,DFL-SEA-0001K7,2023-12-10T13:00:09.220+00:00,76a5785843940dc7e6a6870d3502115d,sts,sts_t160,Eintracht Frankfurt-1899 Hoffenheim,Eintracht Frankfurt,f9e8a773be5237478a5cd82f118bb857,1899 Hoffenheim,527c6caf6e38ffca0e2b984d0ca17bf7,3:1,Deutschland,DFL-STA-J002A1,Stadion am Brentanobad,none,105.0,68.0,2824.2,2915.92,1718.4,1904.76,2.4.1.post15+g651a99a,mens23v2,4bf4bb216249698c183532f4bcfd4bffc34682c6,mens23v2,63737eba1ded671ba581cae5dee3e1b79f670bd1,25.0,Bundesliga 2023/2024: 9.ST Eintracht Frankfurt - 1899 Hoffenheim,bundesliga-2023-2024-9-st-eintracht-frankfurt-1899-hoffenheim,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundesliga,9a4f7a5d9a53e21255bb908af86858bb,Deutscher Fußball-Bund (DFB),20,2023/2024,DFL-SEA-0001K7,2024-05-04T12:00:10.170+00:00,3b85dadfc04dcc3f9958b2c60debdc8f,sts,sts_t160,1899 Hoffenheim-Eintracht Frankfurt,1899 Hoffenheim,527c6caf6e38ffca0e2b984d0ca17bf7,Eintracht Frankfurt,f9e8a773be5237478a5cd82f118bb857,1:3,Deutschland,DFL-STA-000N90,Dietmar-Hopp-Stadion,none,105.0,68.0,2704.88,2844.56,1663.96,1932.88,2.4.1.post15+g651a99a,mens23v2,4bf4bb216249698c183532f4bcfd4bffc34682c6,mens23v2,63737eba1ded671ba581cae5dee3e1b79f670bd1,25.0,Bundesliga 2023/2024: 20.ST 1899 Hoffenheim - Eintracht Frankfurt,bundesliga-2023-2024-20-st-1899-hoffenheim-eintracht-frankfurt,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundesliga,9a4f7a5d9a53e21255bb908af86858bb,Deutscher Fußball-Bund (DFB),16,2023/2024,DFL-SEA-0001K7,2024-03-17T17:30:11.770+00:00,0a2325d34f663ebce737dfd5f8d32a9f,sts,sts_t160,MSV Duisburg-Eintracht Frankfurt,MSV Duisburg,0c2d2261f729957d793f5451e5f57107,Eintracht Frankfurt,f9e8a773be5237478a5cd82f118bb857,1:2,Deutschland,DFL-STA-00000Y,SCHAUINSLAND-REISEN-ARENA,none,105.0,68.0,2721.32,2821.92,2161.96,1961.64,2.4.1.post15+g651a99a,mens23v2,4bf4bb216249698c183532f4bcfd4bffc34682c6,mens23v2,63737eba1ded671ba581cae5dee3e1b79f670bd1,25.0,Bundesliga 2023/2024: 16.ST MSV Duisburg - Eintracht Frankfurt,bundesliga-2023-2024-16-st-msv-duisburg-eintracht-frankfurt,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundesliga,9a4f7a5d9a53e21255bb908af86858bb,Deutscher Fußball-Bund (DFB),8,2023/2024,DFL-SEA-0001K7,2023-11-18T11:00:55.333+00:00,2fca1361ccb8c981e2f1c220ca9e08f9,sts,sts_t160,1. FC Nürnberg-Eintracht Frankfurt,1. FC Nürnberg,aab3502ab7183559fed36874c26d18af,Eintracht Frankfurt,f9e8a773be5237478a5cd82f118bb857,0:2,Deutschland,DFL-STA-00000I,Max-Morlock-Stadion,none,105.0,68.0,2777.56,2948.72,1514.6,1422.04,2.4.1.post15+g651a99a,mens23v2,4bf4bb216249698c183532f4bcfd4bffc34682c6,mens23v2,63737eba1ded671ba581cae5dee3e1b79f670bd1,25.0,Bundesliga 2023/2024: 8.ST 1. FC Nürnberg - Eintracht Frankfurt,bundesliga-2023-2024-8-st-1-fc-nurnberg-eintracht-frankfurt,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundesliga,9a4f7a5d9a53e21255bb908af86858bb,Deutscher Fußball-Bund (DFB),14,2023/2024,DFL-SEA-0001K7,2024-02-16T17:31:36.260+00:00,e7df23c598e46adae29b11fbfab056f0,sts,sts_t160,RB Leipzig-Eintracht Frankfurt,RB Leipzig,dba15f95d732f82f0f9f4903f1622d39,Eintracht Frankfurt,f9e8a773be5237478a5cd82f118bb857,2:1,Deutschland,DFL-STA-J002C7,RB Leipzig Fußball-Akademie,none,102.0,68.0,2782.8,3093.44,1828.96,1730.96,2.4.1.post15+g651a99a,mens23v2,4bf4bb216249698c183532f4bcfd4bffc34682c6,mens23v2,63737eba1ded671ba581cae5dee3e1b79f670bd1,25.0,Bundesliga 2023/2024: 14.ST RB Leipzig - Eintracht Frankfurt,bundesliga-2023-2024-14-st-rb-leipzig-eintracht-frankfurt,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundesliga,9a4f7a5d9a53e21255bb908af86858bb,Deutscher Fußball-Bund (DFB),6,2023/2024,DFL-SEA-0001K7,2023-11-06T18:31:15.000+00:00,bd63fe50296fe81049948f60102d8afd,sts,sts_t160,Werder Bremen-Eintracht Frankfurt,Werder Bremen,555d6824b7aa7fb93ae9bd7c95667851,Eintracht Frankfurt,f9e8a773be5237478a5cd82f118bb857,0:1,Deutschland,DFL-STA-000N7E,Weser-Stadion Platz 11,none,109.0,72.0,2762.52,2887.12,1877.88,1654.12,2.4.1.post15+g651a99a,mens23v2,4bf4bb216249698c183532f4bcfd4bffc34682c6,mens23v2,63737eba1ded671ba581cae5dee3e1b79f670bd1,25.0,Bundesliga 2023/2024: 6.ST Werder Bremen - Eintracht Frankfurt,bundesliga-2023-2024-6-st-werder-bremen-eintracht-frankfurt,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundesliga,9a4f7a5d9a53e21255bb908af86858bb,Deutscher Fußball-Bund (DFB),14,2023/2024,DFL-SEA-0001K7,2024-02-18T13:00:10.080+00:00,bb33e8f55a734ec1afa1ba827d49dd9c,sts,sts_t160,Bayer Leverkusen-1899 Hoffenheim,Bayer Leverkusen,b5ea2a617276394ef53ab2a072111ab0,1899 Hoffenheim,527c6caf6e38ffca0e2b984d0ca17bf7,1:2,Deutschland,DFL-STA-J001ZX,Ulrich-Haberland-Stadion,none,105.0,68.0,2944.52,2999.96,1948.04,1843.4,2.4.1.post15+g651a99a,mens23v2,4bf4bb216249698c183532f4bcfd4bffc34682c6,mens23v2,63737eba1ded671ba581cae5dee3e1b79f670bd1,25.0,Bundesliga 2023/2024: 14.ST Bayer Leverkusen - 1899 Hoffenheim,bundesliga-2023-2024-14-st-bayer-leverkusen-1899-hoffenheim,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundesliga,9a4f7a5d9a53e21255bb908af86858bb,Deutscher Fußball-Bund (DFB),20,2023/2024,DFL-SEA-0001K7,2024-05-04T10:01:28.290+00:00,289da86f0ef0a29a2660e3ab6c51f6cf,sts,sts_t160,Bayer Leverkusen-Bayern München,Bayer Leverkusen,b5ea2a617276394ef53ab2a072111ab0,Bayern München,a81c4f5ef28d2081cf1c3e775ba3c7c4,1:2,Deutschland,DFL-STA-J001ZX,Ulrich-Haberland-Stadion,none,105.0,68.0,2880.32,2882.28,1693.72,1974.56,2.4.1.post15+g651a99a,mens23v2,4bf4bb216249698c183532f4bcfd4bffc34682c6,mens23v2,63737eba1ded671ba581cae5dee3e1b79f670bd1,25.0,Bundesliga 2023/2024: 20.ST Bayer Leverkusen - Bayern München,bundesliga-2023-2024-20-st-bayer-leverkusen-bayern-munchen,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundesliga,9a4f7a5d9a53e21255bb908af86858bb,Deutscher Fußball-Bund (DFB),17,2023/2024,DFL-SEA-0001K7,2024-03-25T18:30:11.590+00:00,f4f335ba80299f427662855e29e1346f,sts,sts_t160,Eintracht Frankfurt-Werder Bremen,Eintracht Frankfurt,f9e8a773be5237478a5cd82f118bb857,Werder Bremen,555d6824b7aa7fb93ae9bd7c95667851,2:0,Deutschland,DFL-STA-J002A1,Stadion am Brentanobad,none,105.0,68.0,2700.32,2948.64,1748.84,1816.56,2.4.1.post15+g651a99a,mens23v2,4bf4bb216249698c183532f4bcfd4bffc34682c6,mens23v2,63737eba1ded671ba581cae5dee3e1b79f670bd1,25.0,Bundesliga 2023/2024: 17.ST Eintracht Frankfurt - Werder Bremen,bundesliga-2023-2024-17-st-eintracht-frankfurt-werder-bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,
