competition_name,competition_id,host,match_day,season_name,season_id,match_id,event_vendor,tracking_vendor,home_team_name,home_team_id,guest_team_name,guest_team_id,result,country,stadium_id,stadium_name,precipitation,pitch_x,pitch_y,total_time_first_half,total_time_second_half,playing_time_first_half,playing_time_second_half,ds_parser_version,xg_tag,xg_sha1,xpass_tag,xpass_sha1,fps,match_string,slugified_match_string,Unnamed: 0,date,endPeriod1,endPeriod2,halfPeriod,homeTeamStartLeft,homeTeamStartLeftExtraTime,period1,period2,startPeriod1,startPeriod2,videoUrl,awayTeam.shortName,awayTeamKit.name,awayTeamKit.primaryColor,awayTeamKit.primaryTextColor,awayTeamKit.secondaryColor,awayTeamKit.secondaryTextColor,homeTeam.shortName,homeTeamKit.name,homeTeamKit.primaryColor,homeTeamKit.primaryTextColor,homeTeamKit.secondaryColor,homeTeamKit.secondaryTextColor,stadium.id,stadium.name,stadium.pitches
FIFA Men's World Cup,38,FIFA,1,2022,2022,3812,pff_fc,pff_fc,Senegal,372,Netherlands,366,,,,,,,,,,,,,,,,,29.97,FIFA Men's World Cup 2022: 1.ST Senegal - Netherlands,fifa-men-s-world-cup-2022-1-st-senegal-netherlands,,2022-11-21T16:00:00,3003.737,6345.646,36.603,FALSE,,47.71215,55.08843333,141.008,3040.34,https://epitome.pff.com/en/film_room/87f7e9ab-da77-4fab-affd-173bbe3ad2f9,NED,Home,#ff9933,#000000,#ff9933,#000000,SEN,Home,#ffffff,#009900,#009900,#ffff00,192,Al Thumama Stadium,"[{'endDate': None, 'id': '678', 'length': 105.0, 'startDate': '2021-01-01', 'width': 68.0}]"
FIFA Men's World Cup,38,FIFA,4,2022,2022,10502,pff_fc,pff_fc,Netherlands,366,United States,51,,,,,,,,,,,,,,,,,29.97,FIFA Men's World Cup 2022: 4.ST Netherlands - United States,fifa-men-s-world-cup-2022-4-st-netherlands-united-states,,2022-12-03T15:00:00,2980.18,6091.191,40.674,TRUE,,46.68556667,51.17228333,179.046,3020.854,https://epitome.pff.com/en/film_room/9a732bec-0ed6-4799-ae83-e42db8c0a2f0,USA,Home,#ffffff,#003366,#ffffff,#ff0000,NED,Home,#ff9933,#000000,#ff9933,#000000,187,Khalifa International Stadium,"[{'endDate': None, 'id': '628', 'length': 105.0, 'startDate': '1976-01-01', 'width': 68.0}]"
FIFA Men's World Cup,38,FIFA,4,2022,2022,10503,pff_fc,pff_fc,Argentina,364,Australia,386,,,,,,,,,,,,,,,,,29.97,FIFA Men's World Cup 2022: 4.ST Argentina - Australia,fifa-men-s-world-cup-2022-4-st-argentina-australia,,2022-12-03T19:00:00,2983.817,6160.894,34.268,TRUE,,47.05095,52.38015,160.76,3018.085,https://epitome.pff.com/en/film_room/ce047811-e725-4ae4-8496-d03781178ce1,AUS,Home,#ffff33,#009900,#009900,#ffff33,ARG,Home,#ffffff,#33ffff,#000000,#ffffff,188,Ahmad Bin Ali Stadium,"[{'endDate': None, 'id': '478', 'length': 105.0, 'startDate': '2020-01-01', 'width': 68.0}]"
FIFA Men's World Cup,38,FIFA,4,2022,2022,10504,pff_fc,pff_fc,France,363,Poland,376,,,,,,,,,,,,,,,,,29.97,FIFA Men's World Cup 2022: 4.ST France - Poland,fifa-men-s-world-cup-2022-4-st-france-poland,,2022-12-04T15:00:00,3010.076,6294.595,32.6,TRUE,,47.01756667,54.19865,189.022,3042.676,https://epitome.pff.com/en/film_room/be8a2184-56a3-4e18-a277-7c49a70527d9,POL,Home,#ffffff,#ff0000,#ff0000,#ffffff,FRA,Home,#003366,#cc9933,#ffffff,#003366,192,Al Thumama Stadium,"[{'endDate': None, 'id': '678', 'length': 105.0, 'startDate': '2021-01-01', 'width': 68.0}]"
FIFA Men's World Cup,38,FIFA,4,2022,2022,10505,pff_fc,pff_fc,England,50,Senegal,372,,,,,,,,,,,,,,,,,29.97,FIFA Men's World Cup 2022: 4.ST England - Senegal,fifa-men-s-world-cup-2022-4-st-england-senegal,,2022-12-04T19:00:00,3000.367,5987.12,35.302,TRUE,,48.43121667,49.19085,94.494,3035.669,https://epitome.pff.com/en/film_room/15a44bd3-ff94-4325-b7bd-846d638aee02,SEN,Away,#009900,#ffff00,#ff0000,#ffff00,ENG,Home,#ffffff,#3399ff,#ffffff,#3399ff,186,Al Bayt Stadium,"[{'endDate': None, 'id': '437', 'length': 105.0, 'startDate': '2021-01-01', 'width': 68.0}]"
FIFA Men's World Cup,38,FIFA,4,2022,2022,10507,pff_fc,pff_fc,Brazil,361,South Korea,377,,,,,,,,,,,,,,,,,29.97,FIFA Men's World Cup 2022: 4.ST Brazil - South Korea,fifa-men-s-world-cup-2022-4-st-brazil-south-korea,,2022-12-05T19:00:00,3092.292,6097.998,67.201,TRUE,,49.99721667,48.97508333,92.459,3159.493,https://epitome.pff.com/en/film_room/97895a42-b69b-4fbf-97a3-d2d0f1c38e98,KOR,Away,#ff0000,#ffff00,#ff0000,#00ff33,BRA,Home,#ffff33,#00cc33,#ffffff,#00cc33,190,Stadium 974,"[{'endDate': None, 'id': '640', 'length': 105.0, 'startDate': '2021-01-01', 'width': 68.0}]"
FIFA Men's World Cup,38,FIFA,4,2022,2022,10509,pff_fc,pff_fc,Portugal,365,Switzerland,370,,,,,,,,,,,,,,,,,29.97,FIFA Men's World Cup 2022: 4.ST Portugal - Switzerland,fifa-men-s-world-cup-2022-4-st-portugal-switzerland,,2022-12-06T19:00:00,3016.015,6005.973,44.979,FALSE,,48.9595,49.08298333,78.445,3060.994,https://epitome.pff.com/en/film_room/3bd0c74a-482b-4bcb-89ed-f9ffac9e5ad8,SUI,Away,#ffffff,#ff0000,#ffffff,#ff0000,POR,Home,#990000,#339933,#990000,#339933,193,Lusail Stadium,"[{'endDate': None, 'id': '87', 'length': 105.0, 'startDate': '2022-01-01', 'width': 68.0}]"
FIFA Men's World Cup,38,FIFA,5,2022,2022,10512,pff_fc,pff_fc,Morocco,374,Portugal,365,,,,,,,,,,,,,,,,,29.97,FIFA Men's World Cup 2022: 5.ST Morocco - Portugal,fifa-men-s-world-cup-2022-5-st-morocco-portugal,,2022-12-10T15:00:00,2964.631,6193.193,48.382,TRUE,,47.5887,53.003,109.309,3013.013,https://epitome.pff.com/en/film_room/3c0a425d-345f-4f68-9fa5-8503c8bf3921,POR,Away,#ffffff,#990000,#ffffff,#006633,MAR,Home,#ff0000,#006600,#ffffff,#ff0000,192,Al Thumama Stadium,"[{'endDate': None, 'id': '678', 'length': 105.0, 'startDate': '2021-01-01', 'width': 68.0}]"
FIFA Men's World Cup,38,FIFA,5,2022,2022,10513,pff_fc,pff_fc,England,50,France,363,,,,,,,,,,,,,,,,,29.97,FIFA Men's World Cup 2022: 5.ST England - France,fifa-men-s-world-cup-2022-5-st-england-france,,2022-12-10T19:00:00,3097.13,6459.092,34.668,TRUE,,49.87598333,55.4549,104.571,3131.798,https://epitome.pff.com/en/film_room/2ddb63dc-1cca-40d1-be61-2e8c093e23a4,FRA,Home,#003366,#cc9933,#ffffff,#003366,ENG,Home,#ffffff,#3399ff,#ffffff,#3399ff,186,Al Bayt Stadium,"[{'endDate': None, 'id': '437', 'length': 105.0, 'startDate': '2021-01-01', 'width': 68.0}]"
FIFA Men's World Cup,38,FIFA,6,2022,2022,10514,pff_fc,pff_fc,Argentina,364,Croatia,371,,,,,,,,,,,,,,,,,29.97,FIFA Men's World Cup 2022: 6.ST Argentina - Croatia,fifa-men-s-world-cup-2022-6-st-argentina-croatia,,2022-12-13T19:00:00,3044.411,6128.228,82.149,TRUE,,49.20476667,50.0278,92.125,3126.56,https://epitome.pff.com/en/film_room/c97d3a60-27ec-4f4e-91a1-708de5434f2b,CRO,Away,#003366,#33ffff,#003366,#33ffff,ARG,Home,#ffffff,#33ffff,#000000,#ffffff,193,Lusail Stadium,"[{'endDate': None, 'id': '87', 'length': 105.0, 'startDate': '2022-01-01', 'width': 68.0}]"
FIFA Men's World Cup,38,FIFA,6,2022,2022,10515,pff_fc,pff_fc,France,363,Morocco,374,,,,,,,,,,,,,,,,,29.97,FIFA Men's World Cup 2022: 6.ST France - Morocco,fifa-men-s-world-cup-2022-6-st-france-morocco,,2022-12-14T19:00:00,3058.592,6151.551,34.001,TRUE,,48.26993333,50.98263333,162.396,3092.593,https://epitome.pff.com/en/film_room/ad7d7930-2f7f-4cc6-8785-38e4016f9218,MAR,Home,#ff0000,#006600,#ffffff,#ff0000,FRA,Home,#003366,#cc9933,#ffffff,#003366,186,Al Bayt Stadium,"[{'endDate': None, 'id': '437', 'length': 105.0, 'startDate': '2021-01-01', 'width': 68.0}]"
FIFA Men's World Cup,38,FIFA,7,2022,2022,10516,pff_fc,pff_fc,Croatia,371,Morocco,374,,,,,,,,,,,,,,,,,29.97,FIFA Men's World Cup 2022: 7.ST Croatia - Morocco,fifa-men-s-world-cup-2022-7-st-croatia-morocco,,2022-12-17T15:00:00,2996.162,6125.192,60.928,TRUE,,46.94193333,51.13503333,179.646,3057.09,https://epitome.pff.com/en/film_room/c0035c6e-76f4-4060-a960-83528554bda2,MAR,Home,#ff0000,#006600,#ffffff,#ff0000,CRO,Home,#ffffff,#ff0000,#ffffff,#ff0000,187,Khalifa International Stadium,"[{'endDate': None, 'id': '628', 'length': 105.0, 'startDate': '1976-01-01', 'width': 68.0}]"
FIFA Men's World Cup,38,FIFA,1,2022,2022,3813,pff_fc,pff_fc,England,50,Iran,373,,,,,,,,,,,,,,,,,29.97,FIFA Men's World Cup 2022: 1.ST England - Iran,fifa-men-s-world-cup-2022-1-st-england-iran,,2022-11-21T13:00:00,3722.122,7289.489,82.549,TRUE,,59.02903333,58.0803,180.38,3804.671,https://epitome.pff.com/en/film_room/17875b31-7e8c-41bc-89c0-036ea1102f80,IRN,Away,#ff0033,#ffffff,#ff0033,#339933,ENG,Home,#ffffff,#3399ff,#ffffff,#3399ff,187,Khalifa International Stadium,"[{'endDate': None, 'id': '628', 'length': 105.0, 'startDate': '1976-01-01', 'width': 68.0}]"
FIFA Men's World Cup,38,FIFA,1,2022,2022,3814,pff_fc,pff_fc,Qatar,360,Ecuador,381,,,,,,,,,,,,,,,,,29.97,FIFA Men's World Cup 2022: 1.ST Qatar - Ecuador,fifa-men-s-world-cup-2022-1-st-qatar-ecuador,,2022-11-20T16:00:00,3109.71,6226.026,96.263,TRUE,,50.01168333,50.33421667,109.009,3205.973,https://epitome.pff.com/en/film_room/b9207aed-c52d-4b9c-8638-8a17226eb95b,ECU,Home,#ffff00,#003366,#003366,#ffff00,QAT,Home,#990000,#ffffff,#990000,#ffffff,186,Al Bayt Stadium,"[{'endDate': None, 'id': '437', 'length': 105.0, 'startDate': '2021-01-01', 'width': 68.0}]"
FIFA Men's World Cup,38,FIFA,1,2022,2022,3815,pff_fc,pff_fc,United States,51,Wales,384,,,,,,,,,,,,,,,,,29.97,FIFA Men's World Cup 2022: 1.ST United States - Wales,fifa-men-s-world-cup-2022-1-st-united-states-wales,,2022-11-21T19:00:00,3045.879,6417.35,39.073,TRUE,,48.96673333,55.53996667,107.875,3084.952,https://epitome.pff.com/en/film_room/015c9fe1-88ec-4240-8d79-4dc125ff1512,WAL,Home,#ff0000,#ffffff,#ffffff,#ff0000,USA,Home,#ffffff,#003366,#ffffff,#ff0000,188,Ahmad Bin Ali Stadium,"[{'endDate': None, 'id': '478', 'length': 105.0, 'startDate': '2020-01-01', 'width': 68.0}]"
FIFA Men's World Cup,38,FIFA,1,2022,2022,3816,pff_fc,pff_fc,Argentina,364,Saudi Arabia,382,,,,,,,,,,,,,,,,,29.97,FIFA Men's World Cup 2022: 1.ST Argentina - Saudi Arabia,fifa-men-s-world-cup-2022-1-st-argentina-saudi-arabia,,2022-11-22T10:00:00,3183.95,6759.759,46.48,TRUE,,51.36635,58.82215,101.969,3230.43,https://epitome.pff.com/en/film_room/d7ffb3e6-2fff-4403-a75e-85df7fdfb2b2,KSA,Home,#006600,#ffffff,#006600,#ffffff,ARG,Home,#ffffff,#33ffff,#000000,#ffffff,193,Lusail Stadium,"[{'endDate': None, 'id': '87', 'length': 105.0, 'startDate': '2022-01-01', 'width': 68.0}]"
FIFA Men's World Cup,38,FIFA,1,2022,2022,3817,pff_fc,pff_fc,Denmark,367,Tunisia,378,,,,,,,,,,,,,,,,,29.97,FIFA Men's World Cup 2022: 1.ST Denmark - Tunisia,fifa-men-s-world-cup-2022-1-st-denmark-tunisia,,2022-11-22T13:00:00,3081.114,6276.65,41.776,TRUE,,49.678,52.56266667,100.434,3122.89,https://epitome.pff.com/en/film_room/2ba4efe8-c940-46bc-b5af-5f051deafac3,TUN,Away,#ffffff,#ff0000,#ff0000,#ffffff,DEN,Home,#ff0033,#ffffff,#ffffff,#ff0033,189,Education City Stadium,"[{'endDate': None, 'id': '45', 'length': 105.0, 'startDate': '2020-01-01', 'width': 68.0}]"
FIFA Men's World Cup,38,FIFA,1,2022,2022,3818,pff_fc,pff_fc,Mexico,58,Poland,376,,,,,,,,,,,,,,,,,29.97,FIFA Men's World Cup 2022: 1.ST Mexico - Poland,fifa-men-s-world-cup-2022-1-st-mexico-poland,,2022-11-22T16:00:00,2878.745,6158.926,144.979,TRUE,,47.05926667,52.25336667,55.189,3023.724,https://epitome.pff.com/en/film_room/e408b47b-ec1d-4413-b376-62319e59948e,POL,Home,#ffffff,#ff0000,#ff0000,#ffffff,MEX,Home,#006600,#ffffff,#ffffff,#ff0000,190,Stadium 974,"[{'endDate': None, 'id': '640', 'length': 105.0, 'startDate': '2021-01-01', 'width': 68.0}]"
FIFA Men's World Cup,38,FIFA,1,2022,2022,3819,pff_fc,pff_fc,France,363,Australia,386,,,,,,,,,,,,,,,,,29.97,FIFA Men's World Cup 2022: 1.ST France - Australia,fifa-men-s-world-cup-2022-1-st-france-australia,,2022-11-22T19:00:00,3172.206,6385.853,82.816,TRUE,,51.21288333,52.18051667,99.433,3255.022,https://epitome.pff.com/en/film_room/467a60a3-b8e2-4a18-b0c5-7bf1c6655e34,AUS,Home,#ffff33,#009900,#009900,#ffff33,FRA,Home,#003366,#cc9933,#ffffff,#003366,191,Al Janoub Stadium,"[{'endDate': None, 'id': '503', 'length': 105.0, 'startDate': '2019-01-01', 'width': 68.0}]"
FIFA Men's World Cup,38,FIFA,1,2022,2022,3820,pff_fc,pff_fc,Morocco,374,Croatia,371,,,,,,,,,,,,,,,,,29.97,FIFA Men's World Cup 2022: 1.ST Morocco - Croatia,fifa-men-s-world-cup-2022-1-st-morocco-croatia,,2022-11-23T10:00:00,2927.193,6148.682,163.531,TRUE,,46.9653,50.96596667,109.275,3090.724,https://epitome.pff.com/en/film_room/40afcdb0-2a34-45a3-a40a-fecfe9efa682,CRO,Home,#ffffff,#ff0000,#ffffff,#ff0000,MAR,Home,#ff0000,#006600,#ffffff,#ff0000,186,Al Bayt Stadium,"[{'endDate': None, 'id': '437', 'length': 105.0, 'startDate': '2021-01-01', 'width': 68.0}]"
FIFA Men's World Cup,38,FIFA,1,2022,2022,3821,pff_fc,pff_fc,Germany,368,Japan,57,,,,,,,,,,,,,,,,,29.97,FIFA Men's World Cup 2022: 1.ST Germany - Japan,fifa-men-s-world-cup-2022-1-st-germany-japan,,2022-11-23T13:00:00,3177.578,6434.634,66.666,TRUE,,50.98098333,53.17316667,118.719,3244.244,https://epitome.pff.com/en/film_room/bbfe296b-6918-439c-9a09-974399a263f5,JPN,home,#3399ff,#ffffff,#3399ff,#ffffff,GER,Home,#ffffff,#000000,#000000,#ffffff,187,Khalifa International Stadium,"[{'endDate': None, 'id': '628', 'length': 105.0, 'startDate': '1976-01-01', 'width': 68.0}]"
FIFA Men's World Cup,38,FIFA,1,2022,2022,3822,pff_fc,pff_fc,Spain,52,Costa Rica,385,,,,,,,,,,,,,,,,,29.97,FIFA Men's World Cup 2022: 1.ST Spain - Costa Rica,fifa-men-s-world-cup-2022-1-st-spain-costa-rica,,2022-11-23T16:00:00,3048.916,6298.799,65.131,FALSE,,50.05561667,53.0792,45.579,3114.047,https://epitome.pff.com/en/film_room/dd73bc63-af81-4f78-8375-b02c65973aa1,CRC,Away,#ffffff,#0000ff,#fffff,#0000ff,ESP,Home,#cc0000,#ffff00,#0066cc,#ffff00,192,Al Thumama Stadium,"[{'endDate': None, 'id': '678', 'length': 105.0, 'startDate': '2021-01-01', 'width': 68.0}]"
FIFA Men's World Cup,38,FIFA,1,2022,2022,3823,pff_fc,pff_fc,Belgium,362,Canada,380,,,,,,,,,,,,,,,,,29.97,FIFA Men's World Cup 2022: 1.ST Belgium - Canada,fifa-men-s-world-cup-2022-1-st-belgium-canada,,2022-11-23T19:00:00,3115.482,6200.567,83.184,TRUE,,49.98331667,50.03168333,116.483,3198.666,https://epitome.pff.com/en/film_room/74cf5d15-8b86-445e-9220-3c766a261434,CAN,Away,#ffffff,#ff0000,#ff0000,#ffffff,BEL,Home,#ff0000,#000000,#000000,#ff0000,188,Ahmad Bin Ali Stadium,"[{'endDate': None, 'id': '478', 'length': 105.0, 'startDate': '2020-01-01', 'width': 68.0}]"
FIFA Men's World Cup,38,FIFA,1,2022,2022,3824,pff_fc,pff_fc,Switzerland,370,Cameroon,379,,,,,,,,,,,,,,,,,29.97,FIFA Men's World Cup 2022: 1.ST Switzerland - Cameroon,fifa-men-s-world-cup-2022-1-st-switzerland-cameroon,,2022-11-24T10:00:00,2970.237,6084.451,34.901,TRUE,,47.83616667,51.32188333,100.067,3005.138,https://epitome.pff.com/en/film_room/8d8e43be-49e0-4448-9740-c525b3f770aa,CMR,Home,#006633,#ffff00,#ff0000,#ffff00,SUI,Home,#ff0000,#ffffff,#ffffff,#ff0000,191,Al Janoub Stadium,"[{'endDate': None, 'id': '503', 'length': 105.0, 'startDate': '2019-01-01', 'width': 68.0}]"
FIFA Men's World Cup,38,FIFA,1,2022,2022,3825,pff_fc,pff_fc,Uruguay,369,South Korea,377,,,,,,,,,,,,,,,,,29.97,FIFA Men's World Cup 2022: 1.ST Uruguay - South Korea,fifa-men-s-world-cup-2022-1-st-uruguay-south-korea,,2022-11-24T13:00:00,2949.349,6164.331,47.281,FALSE,,46.04326667,52.79501667,186.753,2996.63,https://epitome.pff.com/en/film_room/506077dd-d1aa-4708-8c0e-1eded31138a2,KOR,Home,#ff0000,#000000,#ff0000,#000000,URU,Home,#99ffff,#000000,#000000,#ffffff,189,Education City Stadium,"[{'endDate': None, 'id': '45', 'length': 105.0, 'startDate': '2020-01-01', 'width': 68.0}]"
FIFA Men's World Cup,38,FIFA,1,2022,2022,3826,pff_fc,pff_fc,Portugal,365,Ghana,383,,,,,,,,,,,,,,,,,29.97,FIFA Men's World Cup 2022: 1.ST Portugal - Ghana,fifa-men-s-world-cup-2022-1-st-portugal-ghana,,2022-11-24T16:00:00,2916.817,6265.098,41.775,TRUE,,46.99645,55.10843333,97.03,2958.592,https://epitome.pff.com/en/film_room/8c51ba26-f6b1-4a88-b5e8-e7692155aca9,GHA,Home,#ffffff,#000000,#ffffff,#000000,POR,Home,#990000,#339933,#990000,#339933,190,Stadium 974,"[{'endDate': None, 'id': '640', 'length': 105.0, 'startDate': '2021-01-01', 'width': 68.0}]"
FIFA Men's World Cup,38,FIFA,1,2022,2022,3827,pff_fc,pff_fc,Brazil,361,Serbia,375,,,,,,,,,,,,,,,,,29.97,FIFA Men's World Cup 2022: 1.ST Brazil - Serbia,fifa-men-s-world-cup-2022-1-st-brazil-serbia,,2022-11-24T19:00:00,2930.264,6092.326,35.135,TRUE,,46.02436667,52.11545,168.802,2965.399,https://epitome.pff.com/en/film_room/d8cab85d-4f7d-4b69-b3c3-6e9eaf99986f,SRB,Home,#ff0000,#ffcc00,#ffffff,#ff0000,BRA,Home,#ffff33,#00cc33,#ffffff,#00cc33,193,Lusail Stadium,"[{'endDate': None, 'id': '87', 'length': 105.0, 'startDate': '2022-01-01', 'width': 68.0}]"
FIFA Men's World Cup,38,FIFA,2,2022,2022,3828,pff_fc,pff_fc,Wales,384,Iran,373,,,,,,,,,,,,,,,,,29.97,FIFA Men's World Cup 2022: 2.ST Wales - Iran,fifa-men-s-world-cup-2022-2-st-wales-iran,,2022-11-25T10:00:00,3069.736,6526.059,29.096,TRUE,,49.41496667,57.12045,104.838,3098.832,https://epitome.pff.com/en/film_room/d3a7fa70-b27d-4cc4-a75d-349d118a86a9,IRN,Home,#ffffff,#339933,#ffffff,#ff0033,WAL,Home,#ff0000,#ffffff,#ffffff,#ff0000,188,Ahmad Bin Ali Stadium,"[{'endDate': None, 'id': '478', 'length': 105.0, 'startDate': '2020-01-01', 'width': 68.0}]"
FIFA Men's World Cup,38,FIFA,2,2022,2022,3829,pff_fc,pff_fc,Qatar,360,Senegal,372,,,,,,,,,,,,,,,,,29.97,FIFA Men's World Cup 2022: 2.ST Qatar - Senegal,fifa-men-s-world-cup-2022-2-st-qatar-senegal,,2022-11-25T13:00:00,3319.453,6409.076,29.229,FALSE,,52.0704,51.00656667,195.229,3348.682,https://epitome.pff.com/en/film_room/be8b3bbe-4814-4b97-bb1c-b643b3b5eac3,SEN,Home,#ffffff,#009900,#009900,#ffff00,QAT,Home,#990000,#ffffff,#990000,#ffffff,192,Al Thumama Stadium,"[{'endDate': None, 'id': '678', 'length': 105.0, 'startDate': '2021-01-01', 'width': 68.0}]"
FIFA Men's World Cup,38,FIFA,2,2022,2022,3830,pff_fc,pff_fc,Netherlands,366,Ecuador,381,,,,,,,,,,,,,,,,,29.97,FIFA Men's World Cup 2022: 2.ST Netherlands - Ecuador,fifa-men-s-world-cup-2022-2-st-netherlands-ecuador,,2022-11-25T16:00:00,3015.015,6181.381,97.331,TRUE,,49.00511667,51.15058333,74.708,3112.346,https://epitome.pff.com/en/film_room/e46dedeb-5041-4105-a830-e3ad2c819b3a,ECU,Away,#003366,#ffffff,#003366,#ffffff,NED,Home,#ff9933,#000000,#ff9933,#000000,187,Khalifa International Stadium,"[{'endDate': None, 'id': '628', 'length': 105.0, 'startDate': '1976-01-01', 'width': 68.0}]"
FIFA Men's World Cup,38,FIFA,2,2022,2022,3831,pff_fc,pff_fc,England,50,United States,51,,,,,,,,,,,,,,,,,29.97,FIFA Men's World Cup 2022: 2.ST England - United States,fifa-men-s-world-cup-2022-2-st-england-united-states,,2022-11-25T19:00:00,2862.062,5896.863,59.359,TRUE,,46.37971667,49.5907,79.279,2921.421,https://epitome.pff.com/en/film_room/e32d5f7f-8d44-47d3-bc1b-92145dfe49a7,USA,Away,#0066cc,#ffffff,#0066cc,#ffffff,ENG,Home,#ffffff,#3399ff,#ffffff,#3399ff,186,Al Bayt Stadium,"[{'endDate': None, 'id': '437', 'length': 105.0, 'startDate': '2021-01-01', 'width': 68.0}]"
