Player,player_nickname
Éder Gabriel Militão,Éder Militão
Éder Gabriel Militão,Éder Militão
Éder Gabriel Militão,Éder Militão
Éder Gabriel Militão,Éder Militão
Alvaro José Zamora Mata,Álvaro José Zamora Mata
Álvaro Borja Morata Martín,Álvaro Morata
Álvaro Borja Morata Martín,Álvaro Morata
Álvaro Borja Morata Martín,Álvaro Morata
Álvaro Borja Morata Martín,Álvaro Morata
Ángel Martín Correa,Ángel Correa
Ángel Fabián Di María Hernández,Ángel Di María
Ángel Fabián Di María Hernández,Ángel Di María
Ángel Fabián Di María Hernández,Ángel Di María
Ángel Fabián Di María Hernández,Ángel Di María
Ángel Fabián Di María Hernández,Ángel Di María
Éverton Augusto de Barros Ribeiro,Éverton Ribeiro
Óscar Esau Duarte Gaitán,Óscar Duarte
Óscar Esau Duarte Gaitán,Óscar Duarte
Óscar Esau Duarte Gaitán,Óscar Duarte
Aïssa Bilal Laïdouni,Aïssa Laïdouni
Aïssa Bilal Laïdouni,Aïssa Laïdouni
Aïssa Bilal Laïdouni,Aïssa Laïdouni
Aaron Mooy,Aaron Mooy
Aaron Mooy,Aaron Mooy
Aaron Mooy,Aaron Mooy
Aaron Mooy,Aaron Mooy
Aaron Ramsey,Aaron Ramsey
Aaron Ramsey,Aaron Ramsey
Aaron Ramsey,Aaron Ramsey
Abdessamad Ezzalzouli,Abde Ezzalzouli
Abdessamad Ezzalzouli,Abde Ezzalzouli
Abdessamad Ezzalzouli,Abde Ezzalzouli
Abdelhamid Sabiri,Abdelhamid Sabiri
Abdelhamid Sabiri,Abdelhamid Sabiri
Abdelhamid Sabiri,Abdelhamid Sabiri
Abdelhamid Sabiri,Abdelhamid Sabiri
Abdelhamid Sabiri,Abdelhamid Sabiri
Abdelkarim Hassan Al Haj Fadlalla,Abdelkarim Hassan
Abdelkarim Hassan Al Haj Fadlalla,Abdelkarim Hassan
Abdelkarim Hassan Al Haj Fadlalla,Abdelkarim Hassan
Abderrazak Hamdallah,Abderrazak Hamdallah
Abderrazak Hamdallah,Abderrazak Hamdallah
Abderrazak Hamdallah,Abderrazak Hamdallah
Abderrazak Hamdallah,Abderrazak Hamdallah
Abdou Diallo,Abdou Diallo
Abdou Diallo,Abdou Diallo
Abdou Diallo,Abdou Diallo
Abdou Diallo,Abdou Diallo
Abdul Fatawu Issahaku,Abdul Fatawu Issahaku
Abdul Rahman Baba,Abdul Rahman Baba
Abdul Rahman Baba,Abdul Rahman Baba
Abdulaziz Hatem Mohammed Abdullah,Abdulaziz Hatem
Abdulaziz Hatem Mohammed Abdullah,Abdulaziz Hatem
Abdulaziz Hatem Mohammed Abdullah,Abdulaziz Hatem
Abdulelah Al Amri,Abdulelah Al Amri
Abdulelah Al Amri,Abdulelah Al Amri
Abdulelah Saad Hameed Al-Malki,Abdulelah Al Malki
Abdulelah Saad Hameed Al-Malki,Abdulelah Al Malki
Abdullah Mohammed Madu,Abdullah Madu
Abdulrahman Al-Obood,Abdulrahman Al Obod
Abdulrahman Al-Obood,Abdulrahman Al Obod
Abolfazl Jalali,Abolfazl Jalali
Achraf Dari,Achraf Dari
Achraf Dari,Achraf Dari
Achraf Dari,Achraf Dari
Achraf Hakimi Mouh,Achraf Hakimi
Achraf Hakimi Mouh,Achraf Hakimi
Achraf Hakimi Mouh,Achraf Hakimi
Achraf Hakimi Mouh,Achraf Hakimi
Achraf Hakimi Mouh,Achraf Hakimi
Achraf Hakimi Mouh,Achraf Hakimi
Achraf Hakimi Mouh,Achraf Hakimi
Adrien Rabiot,Adrien Rabiot
Adrien Rabiot,Adrien Rabiot
Adrien Rabiot,Adrien Rabiot
Adrien Rabiot,Adrien Rabiot
Adrien Rabiot,Adrien Rabiot
Adrien Rabiot,Adrien Rabiot
Agustín Canobbio Graviz,Agustín Canobbio
Ahmad Nourollahi,Ahmad Nourollahi
Ahmad Nourollahi,Ahmad Nourollahi
Ahmad Nourollahi,Ahmad Nourollahi
Ahmed Alaa Eldin Abdelmotaal,Ahmed Alaa Eldin
Ajdin Hrustic,Ajdin Hrustic
Ajdin Hrustic,Ajdin Hrustic
Ajdin Hrustic,Ajdin Hrustic
Akram Hassan Afif,Akram Afif
Akram Hassan Afif,Akram Afif
Akram Hassan Afif,Akram Afif
Alan Steven Franco Palma,Alan Franco
Alan Steven Franco Palma,Alan Franco
Alejandro Balde Martínez,Alejandro Balde
Alejandro Balde Martínez,Alejandro Balde
Alejandro Balde Martínez,Alejandro Balde
Alejandro Balde Martínez,Alejandro Balde
Aleksandar Mitrović,Aleksandar Mitrović
Aleksandar Mitrović,Aleksandar Mitrović
Aleksandar Mitrović,Aleksandar Mitrović
Alex Sandro Lobo Silva,Alex Sandro
Alex Sandro Lobo Silva,Alex Sandro
Alex Sandro Lobo Silva,Alex Sandro
Alex Nicolao Telles,Alex Telles
Alex Nicolao Telles,Alex Telles
Alexander Hartmann Bah,Alexander Bah
Alexander Hartmann Bah,Alexander Bah
Alexander Djiku,Alexander Djiku
Alexander Djiku,Alexander Djiku
Alexis Mac Allister,Alexis MacAllister
Alexis Mac Allister,Alexis MacAllister
Alexis Mac Allister,Alexis MacAllister
Alexis Mac Allister,Alexis MacAllister
Alexis Mac Allister,Alexis MacAllister
Alexis Mac Allister,Alexis MacAllister
Ernesto Alexis Vega Rojas,Alexis Vega
Ernesto Alexis Vega Rojas,Alexis Vega
Ernesto Alexis Vega Rojas,Alexis Vega
Ali Abdi,Ali Abdi
Ali Abdi,Ali Abdi
Ali Abdi,Ali Abdi
Ali Al Hassan,Ali Al-Hassan
Ali Albulayhi,Ali Albulayhi
Ali Albulayhi,Ali Albulayhi
Ali Albulayhi,Ali Albulayhi
Ali Assadalla Thaimn Qambar,Ali Assadalla
Ali Gholizadeh,Ali Gholizadeh
Ali Gholizadeh,Ali Gholizadeh
Ali Gholizadeh,Ali Gholizadeh
Ali Karimi,Ali Karimi
Ali Karimi,Ali Karimi
Ali Karimi,Ali Karimi
Ali Maâloul,Ali Maâloul
Alidu Seidu,Alidu Seidu
Alidu Seidu,Alidu Seidu
Alireza Safar Beiranvand,Alireza Beiranvand
Alireza Safar Beiranvand,Alireza Beiranvand
Alireza Jahanbakhsh,Alireza Jahanbakhsh
Alireza Jahanbakhsh,Alireza Jahanbakhsh
Alisson Ramsés Becker,Alisson
Alisson Ramsés Becker,Alisson
Alisson Ramsés Becker,Alisson
Alisson Ramsés Becker,Alisson
Alistair Johnston,Alistair Johnston
Alistair Johnston,Alistair Johnston
Alistair Johnston,Alistair Johnston
Almoez Ali Zainalabiddin Abdulla,Almoez Ali
Almoez Ali Zainalabiddin Abdulla,Almoez Ali
Almoez Ali Zainalabiddin Abdulla,Almoez Ali
Alphonso Davies,Alphonso Davies
Alphonso Davies,Alphonso Davies
Alphonso Davies,Alphonso Davies
Amadou Onana,Amadou Onana
Amadou Onana,Amadou Onana
Anass Zaroury,Anass Zaroury
André Ayew Pelé,André Ayew
André Ayew Pelé,André Ayew
André Ayew Pelé,André Ayew
André Onana,André Onana
André Miguel Valente Silva,André Silva
José Andrés Guardado Hernández,Andrés Guardado
Andreas Christensen,Andreas Christensen
Andreas Christensen,Andreas Christensen
Andreas Christensen,Andreas Christensen
Andreas Evald Cornelius,Andreas Cornelius
Andreas Evald Cornelius,Andreas Cornelius
Andreas Evald Cornelius,Andreas Cornelius
Andreas Skov Olsen,Andreas Skov Olsen
Andreas Skov Olsen,Andreas Skov Olsen
Andrej Kramarić,Andrej Kramarić
Andrej Kramarić,Andrej Kramarić
Andrej Kramarić,Andrej Kramarić
Andrej Kramarić,Andrej Kramarić
Andrej Kramarić,Andrej Kramarić
Andrej Kramarić,Andrej Kramarić
Andrej Kramarić,Andrej Kramarić
Andries Noppert,Andries Noppert
Andries Noppert,Andries Noppert
Andries Noppert,Andries Noppert
Andries Noppert,Andries Noppert
Andries Noppert,Andries Noppert
Andrija Živković,Andrija Živković
Andrija Živković,Andrija Živković
Andrija Živković,Andrija Živković
Angelo Smit Preciado Quiñónez,Angelo Preciado
Angelo Smit Preciado Quiñónez,Angelo Preciado
Angelo Smit Preciado Quiñónez,Angelo Preciado
Anis Ben Slimane,Anis Slimane
Anis Ben Slimane,Anis Slimane
Anssumane Fati,Ansu Fati
Anssumane Fati,Ansu Fati
António João Pereira Albuquerque Tavares Silva,António Silva
Ante Budimir,Ante Budimir
Anthony Daniel Contreras Enríquez,Anthony Contreras
Anthony Daniel Contreras Enríquez,Anthony Contreras
Anthony Daniel Contreras Enríquez,Anthony Contreras
Antoine Griezmann,Antoine Griezmann
Antoine Griezmann,Antoine Griezmann
Antoine Griezmann,Antoine Griezmann
Antoine Griezmann,Antoine Griezmann
Antoine Griezmann,Antoine Griezmann
Antoine Griezmann,Antoine Griezmann
Antoine Griezmann,Antoine Griezmann
Antoine Semenyo,Antoine Semenyo
Antoine Semenyo,Antoine Semenyo
Antonee Robinson,Antonee Robinson
Antonee Robinson,Antonee Robinson
Antonee Robinson,Antonee Robinson
Antonee Robinson,Antonee Robinson
Antonio Rüdiger,Antonio Rüdiger
Antonio Rüdiger,Antonio Rüdiger
Antonio Rüdiger,Antonio Rüdiger
Antony Matheus dos Santos,Antony
Antony Matheus dos Santos,Antony
Antony Matheus dos Santos,Antony
Antony Matheus dos Santos,Antony
Ao Tanaka,Ao Tanaka
Ao Tanaka,Ao Tanaka
Ao Tanaka,Ao Tanaka
Ardon Jashari,Ardon Jashari
Arkadiusz Milik,Arkadiusz Milik
Arkadiusz Milik,Arkadiusz Milik
Arkadiusz Milik,Arkadiusz Milik
Artur Jędrzejczyk,Artur Jędrzejczyk
Assim Omer Al Haj Madibo,Assim Madibo
Assim Omer Al Haj Madibo,Assim Madibo
Atiba Hutchinson,Atiba Hutchinson
Atiba Hutchinson,Atiba Hutchinson
Atiba Hutchinson,Atiba Hutchinson
Aurélien Djani Tchouaméni,Aurélien Tchouaméni
Aurélien Djani Tchouaméni,Aurélien Tchouaméni
Aurélien Djani Tchouaméni,Aurélien Tchouaméni
Aurélien Djani Tchouaméni,Aurélien Tchouaméni
Aurélien Djani Tchouaméni,Aurélien Tchouaméni
Aurélien Djani Tchouaméni,Aurélien Tchouaméni
Aurélien Djani Tchouaméni,Aurélien Tchouaméni
Awer Mabil,Awer Mabil
Awer Mabil,Awer Mabil
Axel Disasi,Axel Disasi
Axel Disasi,Axel Disasi
Axel Witsel,Axel Witsel
Axel Witsel,Axel Witsel
Axel Witsel,Axel Witsel
Ayase Ueda,Ayase Ueda
Aymen Dahmen,Aymen Dahmen
Aymen Dahmen,Aymen Dahmen
Aymen Dahmen,Aymen Dahmen
Aymeric Laporte,Aymeric Laporte
Aymeric Laporte,Aymeric Laporte
Aymeric Laporte,Aymeric Laporte
Aziz Eraltay Behich,Aziz Behich
Aziz Eraltay Behich,Aziz Behich
Aziz Eraltay Behich,Aziz Behich
Aziz Eraltay Behich,Aziz Behich
Azzedine Ounahi,Azzedine Ounahi
Azzedine Ounahi,Azzedine Ounahi
Azzedine Ounahi,Azzedine Ounahi
Azzedine Ounahi,Azzedine Ounahi
Azzedine Ounahi,Azzedine Ounahi
Azzedine Ounahi,Azzedine Ounahi
Azzedine Ounahi,Azzedine Ounahi
Bassam Hisham Al Rawi,B. A. Rawi
Badr Banoun,Badr Banoun
Bailey Wright,Bailey Wright
Cheikh Ahmadou Bamba Mbacke Dieng,Bamba Dieng
Cheikh Ahmadou Bamba Mbacke Dieng,Bamba Dieng
Cheikh Ahmadou Bamba Mbacke Dieng,Bamba Dieng
Cheikh Ahmadou Bamba Mbacke Dieng,Bamba Dieng
Bartosz Bereszyński,Bartosz Bereszyński
Bartosz Bereszyński,Bartosz Bereszyński
Bartosz Bereszyński,Bartosz Bereszyński
Bartosz Bereszyński,Bartosz Bereszyński
Ben Davies,Ben Davies
Ben Davies,Ben Davies
Ben Davies,Ben Davies
Benjamin Pavard,Benjamin Pavard
Bernardo Mota Veiga de Carvalho e Silva,Bernardo Silva
Bernardo Mota Veiga de Carvalho e Silva,Bernardo Silva
Bernardo Mota Veiga de Carvalho e Silva,Bernardo Silva
Bernardo Mota Veiga de Carvalho e Silva,Bernardo Silva
Bernardo Mota Veiga de Carvalho e Silva,Bernardo Silva
Bilal El Khannous,Bilal El Khannous
Yassine Bounou,Bono
Yassine Bounou,Bono
Yassine Bounou,Bono
Yassine Bounou,Bono
Yassine Bounou,Bono
Yassine Bounou,Bono
Borna Barišić,Borna Barišić
Borna Sosa,Borna Sosa
Borna Sosa,Borna Sosa
Borna Sosa,Borna Sosa
Borna Sosa,Borna Sosa
Borna Sosa,Borna Sosa
Boualem Khoukhi,Boualem Khoukhi
Boualem Khoukhi,Boualem Khoukhi
Boualem Khoukhi,Boualem Khoukhi
Boulaye Dia,Boulaye Dia
Boulaye Dia,Boulaye Dia
Boulaye Dia,Boulaye Dia
Boulaye Dia,Boulaye Dia
Brandon Aguilera Zamora,Brandon Aguilera Zamora
Brandon Aguilera Zamora,Brandon Aguilera Zamora
Brandon Aguilera Zamora,Brandon Aguilera Zamora
Breel-Donald Embolo,Breel Embolo
Breel-Donald Embolo,Breel Embolo
Breel-Donald Embolo,Breel Embolo
Breel-Donald Embolo,Breel Embolo
Gleison Bremer Silva Nascimento,Bremer
Gleison Bremer Silva Nascimento,Bremer
Brenden Aaronson,Brenden Aaronson
Brenden Aaronson,Brenden Aaronson
Brenden Aaronson,Brenden Aaronson
Brenden Aaronson,Brenden Aaronson
Brennan Johnson,Brennan Johnson
Brennan Johnson,Brennan Johnson
Brennan Johnson,Brennan Johnson
Bruno Miguel Borges Fernandes,Bruno Fernandes
Bruno Miguel Borges Fernandes,Bruno Fernandes
Bruno Miguel Borges Fernandes,Bruno Fernandes
Bruno Miguel Borges Fernandes,Bruno Fernandes
Bruno Guimarães Rodriguez Moura,Bruno Guimarães
Bruno Guimarães Rodriguez Moura,Bruno Guimarães
Bruno Petković,Bruno Petković
Bruno Petković,Bruno Petković
Bruno Petković,Bruno Petković
Bruno Petković,Bruno Petković
Bruno Petković,Bruno Petković
Bruno Petković,Bruno Petković
Bryan Mbeumo,Bryan Mbeumo
Bryan Mbeumo,Bryan Mbeumo
Bryan Mbeumo,Bryan Mbeumo
Bryan Oviedo,Bryan Oviedo
Bryan Oviedo,Bryan Oviedo
Bryan Oviedo,Bryan Oviedo
Bryan Ruiz González,Bryan Ruiz
Bukayo Saka,Bukayo Saka
Bukayo Saka,Bukayo Saka
Bukayo Saka,Bukayo Saka
Bukayo Saka,Bukayo Saka
César Azpilicueta Tanco,César Azpilicueta
César Azpilicueta Tanco,César Azpilicueta
