match_id,defending_team,home_away,defender_id,defender_name,overall_n,overall_avg_x,overall_avg_y,raw_involvement_n,raw_involvement_avg_x,raw_involvement_avg_y,raw_contribution_n,raw_contribution_avg_x,raw_contribution_avg_y,raw_fault_n,raw_fault_avg_x,raw_fault_avg_y,valued_involvement_n,valued_involvement_avg_x,valued_involvement_avg_y,valued_contribution_n,valued_contribution_avg_x,valued_contribution_avg_y,valued_fault_n,valued_fault_avg_x,valued_fault_avg_y
3812,366,away,11094,Cody Gakpo,384,-4.017776042,-0.287875,113,-5.508256637,-0.140026549,46,-7.726108696,0.40973913,67,-3.985552239,-0.517477612,111,-5.160873874,0.438756757,46,-7.726108696,0.40973913,65,-3.345476923,0.459292308
3812,366,away,11241,Andries Noppert,410,-41.07779268,0.364856098,4,-46.18475,0.07875,4,-46.18475,0.07875,,,,4,-46.18475,0.07875,4,-46.18475,0.07875,,,
3812,366,away,1522,Frenkie de Jong,410,-12.88599024,8.692819512,113,-17.57841593,15.86353097,48,-17.33422917,15.80729167,65,-17.75873846,15.90506154,110,-17.74788182,15.69471818,48,-17.33422917,15.80729167,62,-18.06812903,15.60756452
3812,366,away,284,Nathan Aké,410,-19.28337317,9.478321951,70,-24.952,13.42038571,30,-24.48163333,14.33773333,40,-25.304775,12.732375,69,-24.93231884,13.27915942,30,-24.48163333,14.33773333,39,-25.279,12.46487179
3812,366,away,3315,Vincent Janssen,271,3.542848708,-7.971306273,44,4.58625,-15.01131818,22,1.617090909,-17.18031818,22,7.555409091,-12.84231818,43,3.946186047,-15.59851163,22,1.617090909,-17.18031818,21,6.386190476,-13.94138095
3812,366,away,37,Virgil van Dijk,410,-19.0685122,-0.308353659,54,-20.57527778,1.170481481,29,-18.56741379,-0.358275862,25,-22.9044,2.94384,54,-20.57527778,1.170481481,29,-18.56741379,-0.358275862,25,-22.9044,2.94384
3812,366,away,8026,Daley Blind,410,-13.20799268,17.29619268,111,-19.4817027,22.93012613,48,-20.34379167,22.6259375,63,-18.82487302,23.16188889,107,-19.7837757,22.83159813,48,-20.34379167,22.6259375,59,-19.32816949,22.99891525
3812,366,away,8033,Davy Klaassen,92,-4.360836957,8.041847826,39,-4.240102564,12.29176923,20,-6.86125,13.2091,19,-1.481,11.32615789,37,-2.594621622,14.59318919,20,-6.86125,13.2091,17,2.424941176,16.22152941
3812,366,away,8034,Steven Berghuis,318,-11.09269182,-3.27181761,95,-15.30521053,-4.652389474,47,-16.56708511,-7.237106383,48,-14.069625,-2.121520833,93,-15.69630108,-4.637967742,47,-16.56708511,-7.237106383,46,-14.80658696,-1.982326087
3812,366,away,8045,Matthijs De Ligt,410,-18.46877317,-10.21926829,55,-20.69849091,-17.99887273,27,-21.49481481,-19.3097037,28,-19.93060714,-16.73485714,53,-20.07539623,-17.76218868,27,-21.49481481,-19.3097037,26,-18.60138462,-16.15515385
3812,366,away,8134,Denzel Dumfries,410,-11.31833659,-15.80282683,69,-10.56218841,-23.35227536,37,-13.40197297,-22.82935135,32,-7.2786875,-23.95690625,68,-11.02347059,-23.21130882,37,-13.40197297,-22.82935135,31,-8.184612903,-23.66719355
3812,366,away,8326,Teun Koopmeiners,92,-9.398423913,-2.145771739,25,-6.63272,-5.90936,14,-0.515285714,-3.389785714,11,-14.41854545,-9.116090909,23,-4.307652174,-4.229652174,14,-0.515285714,-3.389785714,9,-10.20688889,-5.536111111
3812,366,away,8327,Marten De Roon,26,-0.682961538,9.972923077,4,-4.21925,16.22325,3,-8.338,14.311,1,8.137,21.96,4,-4.21925,16.22325,3,-8.338,14.311,1,8.137,21.96
3812,366,away,8342,Memphis Depay,139,5.759028777,8.417338129,38,10.21197368,15.22315789,19,5.697263158,17.63752632,19,14.72668421,12.80878947,38,10.21197368,15.22315789,19,5.697263158,17.63752632,19,14.72668421,12.80878947
3812,366,away,84,Steven Bergwijn,318,5.103056604,7.524380503,76,2.348934211,13.83835526,31,-2.081096774,16.24290323,45,5.400733333,12.18188889,74,2.327027027,13.77728378,31,-2.081096774,16.24290323,43,5.504976744,11.99974419
3812,372,home,13055,Nicolas Jackson,106,1.554349057,14.36967925,22,7.039727273,19.63727273,10,6.109,22.1252,12,7.815333333,17.564,21,7.899238095,19.4182381,10,6.109,22.1252,11,9.526727273,16.95736364
3812,372,home,13228,Youssouf Sabaly,479,14.58248225,14.83973904,72,13.036625,20.97247222,34,16.76652941,21.09029412,38,9.699342105,20.86705263,69,13.72431884,21.58668116,34,16.76652941,21.09029412,35,10.76902857,22.06888571
3812,372,home,13901,Pape Abou Cissé,479,18.95863048,-4.890561587,50,23.19982,-8.52992,17,24.76388235,-8.837,33,22.39409091,-8.371727273,49,23.65706122,-8.496510204,17,24.76388235,-8.837,32,23.0690625,-8.315625
3812,372,home,2059,Edouard Mendy,479,39.9216096,-0.452223382,9,41.22644444,-0.313666667,8,40.071875,-0.19475,1,50.463,-1.265,9,41.22644444,-0.313666667,8,40.071875,-0.19475,1,50.463,-1.265
3812,372,home,214,Nampalys Mendy,479,11.45106054,-4.083173278,115,15.99784348,-6.004443478,47,16.38834043,-6.224170213,68,15.72794118,-5.852573529,111,15.95916216,-5.83227027,47,16.38834043,-6.224170213,64,15.64398438,-5.54446875
3812,372,home,3848,Abdou Diallo,332,13.72164157,-18.18378313,54,13.81361111,-21.26038889,18,14.08338889,-20.89561111,36,13.67872222,-21.44277778,53,13.43850943,-21.10241509,18,14.08338889,-20.89561111,35,13.10685714,-21.20877143
3812,372,home,3858,Idrissa Gueye,479,1.768106472,-4.527933194,138,0.752731884,-4.540043478,56,-1.587892857,-2.097607143,82,2.351207317,-6.20804878,130,0.823653846,-4.435161538,56,-1.587892857,-2.097607143,74,2.648608108,-6.204121622
3812,372,home,3895,Ismail Jakobs,147,17.25085714,-16.45511565,20,23.0594,-21.1609,11,22.20663636,-21.75554545,9,24.10166667,-20.43411111,20,23.0594,-21.1609,11,22.20663636,-21.75554545,9,24.10166667,-20.43411111
3812,372,home,3903,Krépin Diatta,373,-0.830407507,12.97798928,100,-2.67427,18.80007,39,-0.069153846,19.72297436,61,-4.339836066,18.21001639,96,-2.66978125,18.78977083,39,-0.069153846,19.72297436,57,-4.449157895,18.15126316
3812,372,home,3978,Pape Gueye,106,10.2415566,6.511915094,33,12.62209091,11.98181818,17,13.86088235,12.68064706,16,11.305875,11.2393125,32,12.6481875,12.26828125,17,13.86088235,12.68064706,15,11.2738,11.80093333
3812,372,home,3996,Bamba Dieng,113,-4.586575221,1.159849558,40,-8.9617,0.025975,15,-7.219266667,0.328733333,25,-10.00716,-0.15568,39,-8.918179487,-0.49925641,15,-7.219266667,0.328733333,24,-9.98,-1.01675
3812,372,home,428,Ismaïla Sarr,479,-0.541951983,-15.4880501,112,-0.151008929,-19.96429464,37,4.934351351,-21.91113514,75,-2.659786667,-19.00385333,106,-0.527716981,-19.61040566,37,4.934351351,-21.91113514,69,-3.456652174,-18.37668116
3812,372,home,474,Cheikhou Kouyaté,373,7.214447721,3.884664879,105,6.377619048,7.486419048,43,6.921325581,5.769069767,62,6.000532258,8.677483871,101,6.570267327,7.35650495,43,6.921325581,5.769069767,58,6.31,8.533396552
3812,372,home,7988,Boulaye Dia,366,-8.322265027,-1.471901639,137,-10.05048175,0.38659854,53,-9.240622642,1.225792453,84,-10.56146429,-0.142892857,132,-9.968613636,0.450901515,53,-9.240622642,1.225792453,79,-10.45701266,-0.068962025
3812,372,home,9993,Kalidou Koulibaly,479,18.01024008,4.52480167,54,18.05825926,4.199444444,21,21.22233333,6.38747619,33,16.04475758,2.807060606,54,18.05825926,4.199444444,21,21.22233333,6.38747619,33,16.04475758,2.807060606
3813,50,home,1,Harry Kane,114,14.08235965,0.710649123,36,14.92005556,1.496611111,14,9.405285714,-0.655214286,22,18.42945455,2.865954545,34,15.78461765,1.610705882,14,9.405285714,-0.655214286,20,20.25015,3.19685
