match_name,team,player_name,mins_played
Argentina vs Australia,Argentina,Alejandro Darío Gómez,49
Argentina vs Australia,Argentina,Alexis Mac Allister,79
Argentina vs Australia,Argentina,Cristian Gabriel Romero,97
Argentina vs Australia,Argentina,Damián Emiliano Martínez,97
Argentina vs Australia,Argentina,Enzo Fernandez,97
Argentina vs Australia,Argentina,Exequiel Alejandro Palacios,18
Argentina vs Australia,Argentina,Franco Armani,0
Argentina vs Australia,Argentina,Germán Alejandro Pezzella,0
Argentina vs Australia,Argentina,Gerónimo Rulli,0
Argentina vs Australia,Argentina,Gonzalo Ariel Montiel,18
Argentina vs Australia,Argentina,Guido Rodríguez,0
Argentina vs Australia,Argentina,Juan Marcos Foyth,0
Argentina vs Australia,Argentina,Julián Álvarez,71
Argentina vs Australia,Argentina,Lautaro Javier Martínez,26
Argentina vs Australia,Argentina,Leandro Daniel Paredes,0
Argentina vs Australia,Argentina,Lionel Andrés Messi Cuccittini,97
Argentina vs Australia,Argentina,Lisandro Martínez,48
Argentina vs Australia,Argentina,Marcos Javier Acuña,71
Argentina vs Australia,Argentina,Nahuel Molina Lucero,79
Argentina vs Australia,Argentina,Nicolás Alejandro Tagliafico,26
Argentina vs Australia,Argentina,Nicolás Hernán Otamendi,97
Argentina vs Australia,Argentina,Paulo Bruno Exequiel Dybala,0
Argentina vs Australia,Argentina,Rodrigo Javier De Paul,97
Argentina vs Australia,Argentina,Thiago Ezequiel Almada,0
Argentina vs Australia,Argentina,Ángel Fabián Di María Hernández,0
Argentina vs Australia,Argentina,Ángel Martín Correa,0
Argentina vs Australia,Australia,Aaron Mooy,97
Argentina vs Australia,Australia,Ajdin Hrustic,40
Argentina vs Australia,Australia,Andrew Redmayne,0
Argentina vs Australia,Australia,Awer Mabil,0
Argentina vs Australia,Australia,Aziz Eraltay Behich,97
Argentina vs Australia,Australia,Bailey Wright,0
Argentina vs Australia,Australia,Cameron Peter Devlin,0
Argentina vs Australia,Australia,Craig Goodwin,40
Argentina vs Australia,Australia,Danny Vuković,0
Argentina vs Australia,Australia,Fran Karačić,26
Argentina vs Australia,Australia,Garang Kuol,26
Argentina vs Australia,Australia,Harry Souttar,97
Argentina vs Australia,Australia,Jackson Irvine,97
Argentina vs Australia,Australia,Jamie MacLaren,26
Argentina vs Australia,Australia,Jason Cummings,0
Argentina vs Australia,Australia,Joel King,0
Argentina vs Australia,Australia,Keanu Baccus,57
Argentina vs Australia,Australia,Kye Rowles,97
Argentina vs Australia,Australia,Marco Tilio,0
Argentina vs Australia,Australia,Mathew Leckie,71
Argentina vs Australia,Australia,Mathew Ryan,97
Argentina vs Australia,Australia,Miloš Degenek,71
Argentina vs Australia,Australia,Mitchell Thomas Duke,71
Argentina vs Australia,Australia,Nathaniel Atkinson,0
Argentina vs Australia,Australia,Riley McGree,57
Argentina vs Australia,Australia,Thomas Deng,0
Argentina vs Croatia,Argentina,Alexis Mac Allister,85
Argentina vs Croatia,Argentina,Cristian Gabriel Romero,95
Argentina vs Croatia,Argentina,Damián Emiliano Martínez,95
Argentina vs Croatia,Argentina,Enzo Fernandez,95
Argentina vs Croatia,Argentina,Exequiel Alejandro Palacios,22
Argentina vs Croatia,Argentina,Franco Armani,0
Argentina vs Croatia,Argentina,Germán Alejandro Pezzella,0
Argentina vs Croatia,Argentina,Gerónimo Rulli,0
Argentina vs Croatia,Argentina,Guido Rodríguez,0
Argentina vs Croatia,Argentina,Juan Marcos Foyth,10
Argentina vs Croatia,Argentina,Julián Álvarez,73
Argentina vs Croatia,Argentina,Lautaro Javier Martínez,0
Argentina vs Croatia,Argentina,Leandro Daniel Paredes,61
Argentina vs Croatia,Argentina,Lionel Andrés Messi Cuccittini,95
Argentina vs Croatia,Argentina,Lisandro Martínez,34
Argentina vs Croatia,Argentina,Nahuel Molina Lucero,85
Argentina vs Croatia,Argentina,Nicolás Alejandro Tagliafico,95
Argentina vs Croatia,Argentina,Nicolás Hernán Otamendi,95
Argentina vs Croatia,Argentina,Paulo Bruno Exequiel Dybala,22
Argentina vs Croatia,Argentina,Rodrigo Javier De Paul,73
Argentina vs Croatia,Argentina,Thiago Ezequiel Almada,0
Argentina vs Croatia,Argentina,Ángel Fabián Di María Hernández,0
Argentina vs Croatia,Argentina,Ángel Martín Correa,10
Argentina vs Croatia,Croatia,Andrej Kramarić,71
Argentina vs Croatia,Croatia,Ante Budimir,0
Argentina vs Croatia,Croatia,Borna Barišić,0
Argentina vs Croatia,Croatia,Borna Sosa,45
Argentina vs Croatia,Croatia,Bruno Petković,46
Argentina vs Croatia,Croatia,Dejan Lovren,95
Argentina vs Croatia,Croatia,Domagoj Vida,0
Argentina vs Croatia,Croatia,Dominik Livaković,95
Argentina vs Croatia,Croatia,Ivan Perišić,95
Argentina vs Croatia,Croatia,Ivica Ivušić,0
Argentina vs Croatia,Croatia,Ivo Grbić,0
Argentina vs Croatia,Croatia,Josip Juranović,95
Argentina vs Croatia,Croatia,Josip Stanišić,0
Argentina vs Croatia,Croatia,Josip Šutalo,0
Argentina vs Croatia,Croatia,Joško Gvardiol,95
Argentina vs Croatia,Croatia,Kristijan Jakić,0
Argentina vs Croatia,Croatia,Lovro Majer,15
Argentina vs Croatia,Croatia,Luka Modrić,80
Argentina vs Croatia,Croatia,Luka Sučić,0
Argentina vs Croatia,Croatia,Marcelo Brozović,49
Argentina vs Croatia,Croatia,Mario Pašalić,45
Argentina vs Croatia,Croatia,Marko Livaja,24
Argentina vs Croatia,Croatia,Martin Erlić,0
Argentina vs Croatia,Croatia,Mateo Kovačić,95
Argentina vs Croatia,Croatia,Mislav Oršić,50
Argentina vs Croatia,Croatia,Nikola Vlašić,50
Argentina vs France,Argentina,Alejandro Darío Gómez,0
Argentina vs France,Argentina,Alexis Mac Allister,115
Argentina vs France,Argentina,Cristian Gabriel Romero,125
Argentina vs France,Argentina,Damián Emiliano Martínez,125
Argentina vs France,Argentina,Enzo Fernandez,125
Argentina vs France,Argentina,Exequiel Alejandro Palacios,0
Argentina vs France,Argentina,Franco Armani,0
Argentina vs France,Argentina,Germán Alejandro Pezzella,10
Argentina vs France,Argentina,Gerónimo Rulli,0
Argentina vs France,Argentina,Gonzalo Ariel Montiel,23
Argentina vs France,Argentina,Guido Rodríguez,0
Argentina vs France,Argentina,Juan Marcos Foyth,0
Argentina vs France,Argentina,Julián Álvarez,101
Argentina vs France,Argentina,Lautaro Javier Martínez,24
Argentina vs France,Argentina,Leandro Daniel Paredes,24
Argentina vs France,Argentina,Lionel Andrés Messi Cuccittini,125
Argentina vs France,Argentina,Lisandro Martínez,0
Argentina vs France,Argentina,Marcos Javier Acuña,23
Argentina vs France,Argentina,Nahuel Molina Lucero,90
Argentina vs France,Argentina,Nicolás Alejandro Tagliafico,120
Argentina vs France,Argentina,Nicolás Hernán Otamendi,125
Argentina vs France,Argentina,Paulo Bruno Exequiel Dybala,5
Argentina vs France,Argentina,Rodrigo Javier De Paul,101
Argentina vs France,Argentina,Thiago Ezequiel Almada,0
Argentina vs France,Argentina,Ángel Fabián Di María Hernández,63
Argentina vs France,Argentina,Ángel Martín Correa,0
Argentina vs France,France,Adrien Rabiot,95
Argentina vs France,France,Alphonse Areola,0
Argentina vs France,France,Antoine Griezmann,70
Argentina vs France,France,Aurélien Djani Tchouaméni,125
Argentina vs France,France,Axel Disasi,5
Argentina vs France,France,Benjamin Pavard,0
Argentina vs France,France,Dayotchanculle Upamecano,125
Argentina vs France,France,Eduardo Camavinga,55
Argentina vs France,France,Hugo Lloris,125
Argentina vs France,France,Ibrahima Konaté,13
Argentina vs France,France,Jordan Veretout,0
Argentina vs France,France,Jules Koundé,125
Argentina vs France,France,Kingsley Coman,55
Argentina vs France,France,Kylian Mbappé Lottin,125
Argentina vs France,France,Marcus Thuram,84
Argentina vs France,France,Mattéo Guendouzi Olié,0
Argentina vs France,France,Olivier Giroud,41
Argentina vs France,France,Ousmane Dembélé,40
Argentina vs France,France,Randal Kolo Muani,85
Argentina vs France,France,Raphaël Varane,125
Argentina vs France,France,Steve Mandanda,0
Argentina vs France,France,Theo Bernard François Hernández,70
Argentina vs France,France,William Saliba,0
Argentina vs France,France,Youssouf Fofana,30
Argentina vs Mexico,Argentina,Alejandro Darío Gómez,0
Argentina vs Mexico,Argentina,Alexis Mac Allister,68
Argentina vs Mexico,Argentina,Cristian Gabriel Romero,28
Argentina vs Mexico,Argentina,Damián Emiliano Martínez,96
Argentina vs Mexico,Argentina,Enzo Fernandez,40
Argentina vs Mexico,Argentina,Exequiel Alejandro Palacios,28
Argentina vs Mexico,Argentina,Franco Armani,0
Argentina vs Mexico,Argentina,Germán Alejandro Pezzella,0
Argentina vs Mexico,Argentina,Gerónimo Rulli,0
Argentina vs Mexico,Argentina,Gonzalo Ariel Montiel,62
Argentina vs Mexico,Argentina,Guido Rodríguez,56
Argentina vs Mexico,Argentina,Juan Marcos Foyth,0
Argentina vs Mexico,Argentina,Julián Álvarez,34
Argentina vs Mexico,Argentina,Lautaro Javier Martínez,62
Argentina vs Mexico,Argentina,Leandro Daniel Paredes,0
Argentina vs Mexico,Argentina,Lionel Andrés Messi Cuccittini,96
Argentina vs Mexico,Argentina,Lisandro Martínez,96
Argentina vs Mexico,Argentina,Marcos Javier Acuña,96
Argentina vs Mexico,Argentina,Nahuel Molina Lucero,34
Argentina vs Mexico,Argentina,Nicolás Alejandro Tagliafico,0
Argentina vs Mexico,Argentina,Nicolás Hernán Otamendi,96
Argentina vs Mexico,Argentina,Paulo Bruno Exequiel Dybala,0
Argentina vs Mexico,Argentina,Rodrigo Javier De Paul,96
Argentina vs Mexico,Argentina,Thiago Ezequiel Almada,0
Argentina vs Mexico,Argentina,Ángel Fabián Di María Hernández,68
Argentina vs Mexico,Argentina,Ángel Martín Correa,0
Argentina vs Mexico,Mexico,Alfredo Talavera Díaz,0
Argentina vs Mexico,Mexico,Carlos Alberto Rodríguez Gómez,0
Argentina vs Mexico,Mexico,Carlos Uriel Antuna Romero,31
Argentina vs Mexico,Mexico,César Jasib Montes Castro,96
Argentina vs Mexico,Mexico,Edson Omar Álvarez Velázquez,0
Argentina vs Mexico,Mexico,Ernesto Alexis Vega Rojas,65
Argentina vs Mexico,Mexico,Francisco Guillermo Ochoa Magaña,96
Argentina vs Mexico,Mexico,Gerardo Daniel Arteaga Zamora,0
Argentina vs Mexico,Mexico,Henry Josué Martín Mex,0
Argentina vs Mexico,Mexico,Hirving Rodrigo Lozano Bahena,72
Argentina vs Mexico,Mexico,Héctor Alfredo Moreno Herrera,96
Argentina vs Mexico,Mexico,Héctor Miguel Herrera López,96
Argentina vs Mexico,Mexico,Jesús Daniel Gallardo Vasconcelos,96
Argentina vs Mexico,Mexico,Johan Felipe Vásquez Ibarra,0
Argentina vs Mexico,Mexico,Jorge Eduardo Sánchez Ramos,0
Argentina vs Mexico,Mexico,José Andrés Guardado Hernández,40
Argentina vs Mexico,Mexico,Kevin Nahin Álvarez Campos,65
Argentina vs Mexico,Mexico,Luis Francisco Romo Barrón,0
Argentina vs Mexico,Mexico,Luis Gerardo Chávez Magallón,96
Argentina vs Mexico,Mexico,Néstor Alejandro Araújo Razo,96
Argentina vs Mexico,Mexico,Orbelín Pineda Alvarado,0
Argentina vs Mexico,Mexico,Raúl Alonso Jiménez Rodríguez,31
Argentina vs Mexico,Mexico,Roberto Carlos Alvarado Hernández,24
Argentina vs Mexico,Mexico,Rodolfo Cota Robles,0
Argentina vs Mexico,Mexico,Rogelio Gabriel Funes Mori,0
Argentina vs Mexico,Mexico,Érick Gabriel Gutiérrez Galaviz,56
Argentina vs Saudi Arabia,Argentina,Alejandro Darío Gómez,58
Argentina vs Saudi Arabia,Argentina,Alexis Mac Allister,0
Argentina vs Saudi Arabia,Argentina,Cristian Gabriel Romero,58
Argentina vs Saudi Arabia,Argentina,Damián Emiliano Martínez,103
Argentina vs Saudi Arabia,Argentina,Enzo Fernandez,45
Argentina vs Saudi Arabia,Argentina,Exequiel Alejandro Palacios,0
Argentina vs Saudi Arabia,Argentina,Franco Armani,0
Argentina vs Saudi Arabia,Argentina,Germán Alejandro Pezzella,0
Argentina vs Saudi Arabia,Argentina,Gerónimo Rulli,0
Argentina vs Saudi Arabia,Argentina,Gonzalo Ariel Montiel,0
Argentina vs Saudi Arabia,Argentina,Guido Rodríguez,0
Argentina vs Saudi Arabia,Argentina,Juan Marcos Foyth,0
Argentina vs Saudi Arabia,Argentina,Julián Álvarez,45
Argentina vs Saudi Arabia,Argentina,Lautaro Javier Martínez,103
Argentina vs Saudi Arabia,Argentina,Leandro Daniel Paredes,58
Argentina vs Saudi Arabia,Argentina,Lionel Andrés Messi Cuccittini,103
Argentina vs Saudi Arabia,Argentina,Lisandro Martínez,45
Argentina vs Saudi Arabia,Argentina,Marcos Javier Acuña,33
Argentina vs Saudi Arabia,Argentina,Nahuel Molina Lucero,103
Argentina vs Saudi Arabia,Argentina,Nicolás Alejandro Tagliafico,70
Argentina vs Saudi Arabia,Argentina,Nicolás Hernán Otamendi,103
Argentina vs Saudi Arabia,Argentina,Paulo Bruno Exequiel Dybala,0
Argentina vs Saudi Arabia,Argentina,Rodrigo Javier De Paul,103
Argentina vs Saudi Arabia,Argentina,Thiago Ezequiel Almada,0
Argentina vs Saudi Arabia,Argentina,Ángel Fabián Di María Hernández,103
Argentina vs Saudi Arabia,Argentina,Ángel Martín Correa,0
Argentina vs Saudi Arabia,Saudi Arabia,Abdulelah Al Amri,16
Argentina vs Saudi Arabia,Saudi Arabia,Abdulelah Saad Hameed Al-Malki,103
Argentina vs Saudi Arabia,Saudi Arabia,Abdullah Ibrahim Otayf,0
Argentina vs Saudi Arabia,Saudi Arabia,Abdullah Mohammed Madu,0
Argentina vs Saudi Arabia,Saudi Arabia,Abdulrahman Al-Obood,0
Argentina vs Saudi Arabia,Saudi Arabia,Ali Al Hassan,0
Argentina vs Saudi Arabia,Saudi Arabia,Ali Albulayhi,103
Argentina vs Saudi Arabia,Saudi Arabia,Firas Tariq Nasser Al Albirakan,88
Argentina vs Saudi Arabia,Saudi Arabia,Haitham Mohammed Asiri,15
Argentina vs Saudi Arabia,Saudi Arabia,Hassan Mohammed Al-Tambakti,103
Argentina vs Saudi Arabia,Saudi Arabia,Hattan Babhir,0
Argentina vs Saudi Arabia,Saudi Arabia,Mohammed Al Burayk,5
Argentina vs Saudi Arabia,Saudi Arabia,Mohammed Al Rubaie Al Yami,0
Argentina vs Saudi Arabia,Saudi Arabia,Mohammed Kanoo,103
Argentina vs Saudi Arabia,Saudi Arabia,Mohammed Khalil Al Owais,103
Argentina vs Saudi Arabia,Saudi Arabia,Nasser Al Dawsari,0
Argentina vs Saudi Arabia,Saudi Arabia,Nawaf Alaqidi,0
Argentina vs Saudi Arabia,Saudi Arabia,Nawaf Shaker Al Abid,40
Argentina vs Saudi Arabia,Saudi Arabia,Riyadh Sharahili,0
Argentina vs Saudi Arabia,Saudi Arabia,Saleh Khalid Al Shehri,77
Argentina vs Saudi Arabia,Saudi Arabia,Salem Mohammed Al Dawsari,103
Argentina vs Saudi Arabia,Saudi Arabia,Salman Mohammed Al Faraj,47
Argentina vs Saudi Arabia,Saudi Arabia,Sami Khalil Al Naji,0
Argentina vs Saudi Arabia,Saudi Arabia,Saud Abdullah Abdul Hamid,103
Argentina vs Saudi Arabia,Saudi Arabia,Sultan Abdullah Salim Al Ghannam,26
Argentina vs Saudi Arabia,Saudi Arabia,Yasir Gharsan Al Shahrani,98
Australia vs Denmark,Australia,Aaron Mooy,96
Australia vs Denmark,Australia,Ajdin Hrustic,8
Australia vs Denmark,Australia,Andrew Redmayne,0
Australia vs Denmark,Australia,Awer Mabil,0
Australia vs Denmark,Australia,Aziz Eraltay Behich,96
Australia vs Denmark,Australia,Bailey Wright,23
Australia vs Denmark,Australia,Cameron Peter Devlin,0
Australia vs Denmark,Australia,Craig Goodwin,45
Australia vs Denmark,Australia,Danny Vuković,0
Australia vs Denmark,Australia,Fran Karačić,0
Australia vs Denmark,Australia,Garang Kuol,0
Australia vs Denmark,Australia,Harry Souttar,96
Australia vs Denmark,Australia,Jackson Irvine,96
Australia vs Denmark,Australia,Jamie MacLaren,15
Australia vs Denmark,Australia,Jason Cummings,0
Australia vs Denmark,Australia,Joel King,0
Australia vs Denmark,Australia,Keanu Baccus,51
Australia vs Denmark,Australia,Kye Rowles,96
Australia vs Denmark,Australia,Marco Tilio,0
Australia vs Denmark,Australia,Mathew Leckie,88
Australia vs Denmark,Australia,Mathew Ryan,96
Australia vs Denmark,Australia,Miloš Degenek,96
Australia vs Denmark,Australia,Mitchell Thomas Duke,81
Australia vs Denmark,Australia,Nathaniel Atkinson,0
Australia vs Denmark,Australia,Riley McGree,73
Australia vs Denmark,Australia,Thomas Deng,0
Australia vs Denmark,Denmark,Alexander Hartmann Bah,51
Australia vs Denmark,Denmark,Andreas Christensen,96
Australia vs Denmark,Denmark,Andreas Evald Cornelius,27
Australia vs Denmark,Denmark,Andreas Skov Olsen,68
Australia vs Denmark,Denmark,Christian Dannemann Eriksen,96
Australia vs Denmark,Denmark,Christian Nørgaard,0
Australia vs Denmark,Denmark,Daniel Wass,0
Australia vs Denmark,Denmark,Frederik Rønnow,0
Australia vs Denmark,Denmark,Jens Stryger Larsen,0
Australia vs Denmark,Denmark,Jesper Lindstrøm,96
Australia vs Denmark,Denmark,Joachim Andersen,96
Australia vs Denmark,Denmark,Joakim Mæhle,69
Australia vs Denmark,Denmark,Jonas Older Wind,0
Australia vs Denmark,Denmark,Kasper Dolberg,38
Australia vs Denmark,Denmark,Kasper Schmeichel,96
Australia vs Denmark,Denmark,Martin Braithwaite Christensen,58
Australia vs Denmark,Denmark,Mathias Jensen,58
Australia vs Denmark,Denmark,Mikkel Damsgaard,38
Australia vs Denmark,Denmark,Oliver Christensen,0
Australia vs Denmark,Denmark,Pierre-Emile Højbjerg,96
Australia vs Denmark,Denmark,Rasmus Nissen Kristensen,45
Australia vs Denmark,Denmark,Robert Skov,28
Australia vs Denmark,Denmark,Simon Thorup Kjær,0
Australia vs Denmark,Denmark,Victor Nelsson,0
Australia vs Denmark,Denmark,Yussuf Yurary Poulsen,0
Belgium vs Canada,Belgium,Amadou Onana,50
Belgium vs Canada,Belgium,Arthur Theate,0
Belgium vs Canada,Belgium,Axel Witsel,95
