player,xt_sum,most_common_position,overall_position,xt_pass
Rodrigo Hernández Cascante,2.888171918,Right Center Back,Back,1.69433561
Joško Gvardiol,2.416978948,Left Center Back,Back,1.843706069
Josip Juranović,2.101819743,Right Back,Back,1.474122213
Marcos Aoás Corrêa,2.101752129,Right Center Back,Back,1.525442571
Harry Maguire,1.984844304,Left Center Back,Back,1.501503468
Aymeric Laporte,1.885568561,Left Center Back,Back,1.206793269
Luke Shaw,1.841219746,Left Back,Back,1.326270494
Antonee Robinson,1.82752529,Left Back,Back,0.798448741
Borna Sosa,1.782480935,Left Back,Back,0.993596081
Thiago Emiliano da Silva,1.764114215,Left Center Back,Back,1.580945135
Achraf Hakimi Mouh,1.681253299,Right Back,Back,0.967519239
Sergino Dest,1.678782572,Right Back,Back,0.691656466
Dejan Lovren,1.630406422,Right Center Back,Back,1.405250269
Dayotchanculle Upamecano,1.600931152,Left Center Back,Back,1.250746948
John Stones,1.581139358,Right Center Back,Back,1.166459111
Nicolás Hernán Otamendi,1.554848614,Left Center Back,Back,1.211463391
Nathan Aké,1.514648597,Left Center Back,Back,0.95503735
Joachim Andersen,1.487200812,Right Center Back,Back,1.260916803
Virgil van Dijk,1.482129177,Center Back,Back,1.318847171
Theo Bernard François Hernández,1.481260766,Left Back,Back,0.916655879
Youssouf Sabaly,1.380005522,Right Back,Back,0.896787944
Raphaël Adelino José Guerreiro,1.375570671,Left Back,Back,0.703610169
Pervis Josué Estupiñán Tenorio,1.328182224,Left Back,Back,0.86391149
Kléper Laveran Lima Ferreira,1.314641673,Right Center Back,Back,1.141043275
Young-Gwon Kim,1.311467694,Left Center Back,Back,1.190497429
Niklas Süle,1.247625761,Right Center Back,Back,0.988548083
Manuel Obafemi Akanji,1.225188618,Right Center Back,Back,0.9716966
Kamal Miller,1.193008832,Left Center Back,Back,1.058917488
Ibrahima Konaté,1.149564801,Left Center Back,Back,0.894148545
Daley Blind,1.121059915,Left Wing Back,Back,1.004587781
Ramin Rezaeian,1.119442128,Right Back,Back,0.751367726
Abdou Diallo,1.116587553,Left Center Back,Back,0.842282555
Yahia Attiyat allah,1.107203745,Left Back,Back,0.827978985
Matty Cash,1.105881292,Right Back,Back,0.765461779
Jurriën David Norman Timber,1.104308307,Right Center Back,Back,0.782131641
Strahinja Pavlović,1.100564002,Left Center Back,Back,0.756634985
Cristian Gabriel Romero,1.095251288,Right Center Back,Back,0.804632024
Tim Ream,1.0805308,Left Center Back,Back,0.77056191
Ismail Jakobs,1.075277238,Left Back,Back,0.853137834
Antonio Rüdiger,1.07045847,Left Center Back,Back,0.868894103
Jordi Alba Ramos,1.058795627,Left Back,Back,0.718915676
Silvan Widmer,1.049555699,Right Back,Back,0.702145551
Éder Gabriel Militão,1.045423701,Right Back,Back,0.971579754
César Jasib Montes Castro,1.043310726,Right Center Back,Back,0.799322695
Saud Abdullah Abdul Hamid,1.037587827,Right Back,Back,0.530543219
Filip Kostić,1.03581253,Left Wing Back,Back,0.485647832
Abdelkarim Hassan Al Haj Fadlalla,1.032061562,Left Center Back,Back,0.514950384
Toby Alderweireld,1.025602303,Right Center Back,Back,0.884939907
Kaoru Mitoma,1.024332659,Left Wing Back,Back,0.483971098
Ngoran Suiru Fai Collins,1.014648824,Right Back,Back,0.668496904
Tajon Buchanan,1.000457648,Right Wing Back,Back,0.267570389
Alistair Johnston,0.995771132,Right Back,Back,0.791505442
Nahuel Molina Lucero,0.950060681,Right Back,Back,0.430368957
Pau Francisco Torres,0.949794511,Left Center Back,Back,0.503820975
César Azpilicueta Tanco,0.940244735,Right Back,Back,0.675983601
Min Jae Kim,0.924345767,Right Center Back,Back,0.671004197
Romain Saïss,0.920247862,Left Center Back,Back,0.757932447
Jakub Piotr Kiwior,0.916493501,Left Center Back,Back,0.786774941
José María Giménez de Vargas,0.911807686,Left Center Back,Back,0.772459958
Rúben Santos Gato Alves Dias,0.905099453,Left Center Back,Back,0.732099269
Andreas Christensen,0.877075821,Left Center Back,Back,0.687870763
Boualem Khoukhi,0.876271236,Center Back,Back,0.723204567
Jin-Su Kim,0.875121092,Left Back,Back,0.636793334
Raphaël Varane,0.872934302,Right Center Back,Back,0.556422971
Fran Karačić,0.860093292,Right Back,Back,0.751367152
Ricardo Iván Rodríguez Araya,0.848310577,Left Back,Back,0.536316388
Denzel Dumfries,0.840544406,Right Wing Back,Back,0.276595294
Andrija Živković,0.823612315,Right Wing Back,Back,0.457627876
Héctor Alfredo Moreno Herrera,0.818070999,Left Center Back,Back,0.816613071
Abdulelah Al Amri,0.815487977,Right Center Back,Back,0.679358968
Marcos Javier Acuña,0.79118655,Left Back,Back,0.084089128
Angelo Smit Preciado Quiñónez,0.789968882,Right Back,Back,0.670112925
Harry Souttar,0.763619277,Right Center Back,Back,0.719973548
Richie Laryea,0.752586133,Right Wing Back,Back,0.392376685
João Pedro Cavaco Cancelo,0.751612281,Left Back,Back,0.226369642
Jules Koundé,0.746591298,Right Back,Back,0.43483335
Moon-Hwan Kim,0.735937456,Right Back,Back,0.697064525
Nico Schlotterbeck,0.729097037,Left Center Back,Back,0.411551503
Ben Davies,0.719188424,Left Center Back,Back,0.559618617
Kalidou Koulibaly,0.712197557,Right Center Back,Back,0.582015128
Mohamed Salisu,0.70892797,Left Center Back,Back,0.563523909
Maya Yoshida,0.687762381,Center Back,Back,0.550135875
David Raum,0.67936868,Left Back,Back,0.461258363
Mathías Olivera Miramontes,0.661153095,Left Back,Back,0.459815676
Steven de Sousa Vitoria,0.660777543,Right Center Back,Back,0.494774992
Guillermo Varela Olivera,0.657976647,Right Back,Back,0.416609154
Nemanja Radonjić,0.65066712,Right Wing Back,Back,0.259557347
Chris Mepham,0.639190452,Right Center Back,Back,0.521742464
Aziz Eraltay Behich,0.636012882,Left Back,Back,0.19683113
Rasmus Nissen Kristensen,0.632140443,Right Wing Back,Back,0.433618472
Lisandro Martínez,0.626334469,Left Center Back,Back,0.522550629
Daniel Amartey,0.620418172,Right Center Back,Back,0.510246685
Montassar Omar Talbi,0.613970864,Left Center Back,Back,0.530331875
Danilo Luiz da Silva,0.592756267,Left Back,Back,0.330271892
José Diogo Dalot Teixeira,0.588024092,Right Back,Back,0.257346902
Felix Eduardo Torres Caicedo,0.579785556,Right Center Back,Back,0.470776181
Alex Sandro Lobo Silva,0.577046175,Left Back,Back,0.437832943
Piero Martín Hincapié Reyna,0.561516692,Left Center Back,Back,0.444079966
Walker Zimmerman,0.560783022,Right Center Back,Back,0.476536237
Ali Maâloul,0.560125417,Left Wing Back,Back,0.517477002
Neco Williams,0.551108203,Left Wing Back,Back,0.197680486
Yassine Meriah,0.544390624,Center Back,Back,0.468601039
Kieran Trippier,0.540964001,Right Back,Back,0.536756574
Sebastián Coates Nión,0.532538253,Left Center Back,Back,0.425477871
Daniel Alves da Silva,0.523793515,Right Back,Back,0.419925352
Yuto Nagatomo,0.517977798,Left Back,Back,0.324140265
Nikola Milenković,0.515580999,Right Center Back,Back,0.420883852
Thomas Meunier,0.515126588,Right Back,Back,0.212149567
Bartosz Bereszyński,0.502675183,Left Back,Back,0.311578624
Morteza Pouraliganji,0.492042235,Left Center Back,Back,0.398686393
Timothy Castagne,0.468220497,Left Back,Back,0.409479819
Miloš Degenek,0.468059122,Right Back,Back,0.430736895
Connor Roberts,0.467470252,Right Wing Back,Back,0.489387816
Jan Vertonghen,0.466286963,Left Center Back,Back,0.463193691
Nayef Aguerd,0.464200554,Right Center Back,Back,0.42827521
Eduardo Camavinga,0.462260894,Left Back,Back,0.28835981
Abdul Rahman Baba,0.449984122,Left Back,Back,0.319448532
Kyle Walker,0.445776862,Right Back,Back,0.371403281
Sultan Abdullah Salim Al Ghannam,0.439554305,Right Back,Back,0.310417158
Milad Mohammadi,0.437900271,Left Back,Back,0.237557701
Ali Abdi,0.432561612,Left Wing Back,Back,0.212355937
Ko Itakura,0.424443075,Right Center Back,Back,0.270646145
Alidu Seidu,0.41730006,Right Back,Back,0.166579606
Hiroki Sakai,0.416963339,Right Wing Back,Back,0.360116901
Wajdi Kechrida,0.40609105,Right Wing Back,Back,0.062311424
Diego Roberto Godín Leal,0.404950392,Right Center Back,Back,0.350825543
Pedro Miguel Correia,0.389017511,Right Center Back,Back,0.284518049
Jorge Eduardo Sánchez Ramos,0.385696354,Right Back,Back,0.295632017
Nico Elvedi,0.385056658,Left Center Back,Back,0.212953079
Bassam Hisham Al Rawi,0.36218445,Right Center Back,Back,0.310021098
Fabian Lukas Schär,0.35939956,Right Center Back,Back,0.28944376
Jawad El Yamiq,0.359042862,Left Center Back,Back,0.29770598
Junya Ito,0.356435058,Right Wing Back,Back,-0.038941399
Takehiro Tomiyasu,0.355812312,Right Center Back,Back,0.272051135
Nuno Mendes,0.341038512,Left Back,Back,0.20937033
Simon Thorup Kjær,0.338991476,Center Back,Back,0.306663222
Jesús Daniel Gallardo Vasconcelos,0.33174647,Left Back,Back,0.161583945
Néstor Alejandro Araújo Razo,0.329306397,Right Center Back,Back,0.283629677
Danilo Luís Hélio Pereira,0.323913008,Left Center Back,Back,0.3017814
Jean-Charles Castelletto,0.320141179,Right Center Back,Back,0.245542574
Victor Nelsson,0.317273601,Left Center Back,Back,0.240594505
Achraf Dari,0.313747566,Right Center Back,Back,0.276340771
Shogo Taniguchi,0.302653784,Left Center Back,Back,0.261328203
Kye Rowles,0.301422032,Left Center Back,Back,0.301709914
Ismaeel Mohammad Mohammad,0.29075604,Right Wing Back,Back,0.030213863
Francisco Javier Calvo Quesada,0.279197405,Left Center Back,Back,0.230643516
Bryan Oviedo,0.273701954,Left Wing Back,Back,0.096080872
Kamil Glik,0.272447046,Right Center Back,Back,0.269541557
Milos Veljkovic,0.271722669,Center Back,Back,0.205704721
Joe Rodon,0.264589965,Center Back,Back,0.207097113
Sam Adekugbe,0.260598084,Left Back,Back,0.156975506
Borna Barišić,0.25680679,Left Back,Back,0.152215159
Joakim Mæhle,0.256711809,Left Wing Back,Back,-0.02191773
Alexander Hartmann Bah,0.242732062,Right Back,Back,0.057749715
Ronald Alberto Matarrita Ulate,0.239876487,Left Wing Back,Back,0.081741106
Mohammed Al Burayk,0.239638057,Left Back,Back,0.183871807
Seyed Majid Hosseini,0.239526038,Right Center Back,Back,0.206688524
Cameron Carter-Vickers,0.238357099,Right Center Back,Back,0.183953435
Ali Albulayhi,0.236697822,Left Center Back,Back,0.140943263
Lukas Klostermann,0.23516748,Right Back,Back,0.150641076
Noussair Mazraoui,0.230196745,Left Back,Back,0.138508739
Edimilson Fernandes,0.228176189,Right Back,Back,0.143775682
Nouhou Tolo,0.222952567,Left Back,Back,0.158219366
Miki Yamane,0.222585272,Right Back,Back,0.144690986
Nicolás Alejandro Tagliafico,0.214763475,Left Back,Back,0.062900694
Youstin Delfin Salas Gómez,0.208844806,Right Wing Back,Back,0.15842112
Alphonso Davies,0.200946522,Left Wing Back,Back,-0.260315589
Gonzalo Ariel Montiel,0.19152191,Right Back,Back,0.066438472
Mohamed Dräger,0.190763974,Right Wing Back,Back,0.112206606
Matthijs de Ligt,0.18701146,Right Center Back,Back,0.154712023
Keysher Fuller Spence,0.18446772,Right Wing Back,Back,0.049501796
Tariq Lamptey,0.175061068,Right Back,Back,-0.009997922
Eray Ervin Cömert,0.175041398,Left Center Back,Back,0.127321715
Óscar Esau Duarte Gaitán,0.170560436,Right Center Back,Back,0.160737208
Benjamin Pavard,0.164714496,Right Back,Back,0.100954202
Gideon Mensah,0.159923268,Left Back,Back,0.154560263
Pape Abou Cissé,0.141438014,Left Center Back,Back,0.151768387
Shaquell Moore,0.140280571,Right Back,Back,0.070699611
Kendall Jamaal Waston Manley,0.132512507,Center Back,Back,0.127132066
Josip Šutalo,0.132403767,Right Center Back,Back,0.120703586
António João Pereira Albuquerque Tavares Silva,0.129729269,Left Center Back,Back,0.102698313
Nicolas Alexis Julio N'Koulou Ndoubena,0.129129415,Left Center Back,Back,0.145439238
Yasir Gharsan Al Shahrani,0.12762249,Left Back,Back,0.128391363
Dylan Daniel Mahmoud Bronn,0.124411301,Right Center Back,Back,0.08581127
Germán Alejandro Pezzella,0.119001219,Right Center Back,Back,0.12806773
Kevin Nahin Álvarez Campos,0.114623035,Right Wing Back,Back,-0.005172386
José Martín Cáceres Silva,0.112418756,Right Back,Back,0.091174611
Enzo Ebosse,0.111525854,Left Center Back,Back,0.089038981
Leander Dendoncker,0.10737228,Right Center Back,Back,0.039850102
Hiroki Ito,0.106484354,Left Center Back,Back,0.074979287
Eric Dier,0.104052962,Left Center Back,Back,0.086499858
Alex Nicolao Telles,0.102222965,Left Back,Back,0.143546695
Jackson Gabriel Porozo Vernaza,0.101213309,Right Center Back,Back,0.083358172
DeAndre Yedlin,0.101091215,Right Back,Back,0.052240663
William Saliba,0.10027803,Right Center Back,Back,0.093448912
Chul Hong,0.097457159,Left Back,Back,0.091515702
Gleison Bremer Silva Nascimento,0.096099714,Left Center Back,Back,0.099885464
Daniel Carvajal Ramos,0.09598427,Right Back,Back,0.002807577
Axel Disasi,0.095380982,Right Back,Back,0.047131856
Juan Pablo Vargas Campos,0.086876024,Left Center Back,Back,0.080475993
Thilo Kehrer,0.085559405,Right Back,Back,0.075036213
Mohammad Hossein Kanani Zadegan,0.08411964,Right Center Back,Back,0.078658462
Hassan Mohammed Al-Tambakti,0.078178369,Right Center Back,Back,0.057225939
