player_name,team,mins_played
Nicolás Hernán Otamendi,Argentina,739
Lionel Andrés Messi Cuccittini,Argentina,739
Damián Emiliano Martínez,Argentina,739
Dominik Livaković,Croatia,725
Joško Gvardiol,Croatia,725
Ivan Perišić,Croatia,707
Sofyan Amrabat,Morocco,698
Luka Modrić,Croatia,673
Hakim Ziyech,Morocco,662
Achraf Hakimi Mouh,Morocco,660
Aurélien Djani Tchouaméni,France,660
Kylian Mbappé Lottin,France,653
Mateo Kovačić,Croatia,647
Rodrigo Javier De Paul,Argentina,631
Dejan Lovren,Croatia,629
Josip Juranović,Croatia,629
Nahuel Molina Lucero,Argentina,614
Hugo Lloris,France,613
Enzo Fernandez,Argentina,607
Yassine Bounou,Morocco,603
Azzedine Ounahi,Morocco,592
Antoine Griezmann,France,583
Cristian Gabriel Romero,Argentina,576
Marcelo Brozović,Croatia,571
Alexis Mac Allister,Argentina,556
Raphaël Varane,France,554
Youssef En-Nesyri,Morocco,550
Theo Bernard François Hernández,France,546
Adrien Rabiot,France,528
Dayotchanculle Upamecano,France,518
Jules Koundé,France,517
Virgil van Dijk,Netherlands,515
Denzel Dumfries,Netherlands,515
Andries Noppert,Netherlands,515
Nathan Aké,Netherlands,511
Frenkie de Jong,Netherlands,504
Diogo Meireles Costa,Portugal,488
Romain Saïss,Morocco,485
Jordan Pickford,England,485
Julián Álvarez,Argentina,482
Andrej Kramarić,Croatia,474
Sofiane Boufal,Morocco,473
Cody Mathès Gakpo,Netherlands,472
John Stones,England,464
Marcos Aoás Corrêa,Brazil,456
Luke Shaw,England,455
Daley Blind,Netherlands,452
Harry Maguire,England,452
Declan Rice,England,448
Ousmane Dembélé,France,445
Jude Bellingham,England,440
Borna Sosa,Croatia,439
Olivier Giroud,France,429
Selim Amallah,Morocco,422
Harry Kane,England,420
Jurriën David Norman Timber,Netherlands,415
Rodrigo Hernández Cascante,Spain,415
Unai Simón Mendibil,Spain,415
Maya Yoshida,Japan,415
Shūichi Gonda,Japan,415
Thiago Emiliano da Silva,Brazil,410
